"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Ilmanpaineen keskiarvo [hPa]"
"Helsinki Kaisaniemi","2020","4","10","23:00","2.2","5.4","327","1018.3"
"Helsinki Kaisaniemi","2020","4","11","00:00","1.3","3.5","327","1019"
"Helsinki Kaisaniemi","2020","4","11","01:00","0.8","4","316","1019.4"
"Helsinki Kaisaniemi","2020","4","11","02:00","0.5","4.4","316","1019.9"
"Helsinki Kaisaniemi","2020","4","11","03:00","-0.1","3.4","311","1020.3"
"Helsinki Kaisaniemi","2020","4","11","04:00","0.1","3.1","293","1020.5"
"Helsinki Kaisaniemi","2020","4","11","05:00","0","4","285","1020.7"
"Helsinki Kaisaniemi","2020","4","11","06:00","0.1","3.6","296","1020.7"
"Helsinki Kaisaniemi","2020","4","11","07:00","0.1","3.9","295","1020.8"
"Helsinki Kaisaniemi","2020","4","11","08:00","0.7","4.1","294","1021.1"
"Helsinki Kaisaniemi","2020","4","11","09:00","2.4","4.4","292","1021.1"
"Helsinki Kaisaniemi","2020","4","11","10:00","3.9","4.4","287","1021.2"
"Helsinki Kaisaniemi","2020","4","11","11:00","5.5","5.4","287","1021.4"
"Helsinki Kaisaniemi","2020","4","11","12:00","6.4","7.5","303","1021.6"
"Helsinki Kaisaniemi","2020","4","11","13:00","6.9","7.2","304","1021.7"
"Helsinki Kaisaniemi","2020","4","11","14:00","6.6","6.1","304","1021.7"
"Helsinki Kaisaniemi","2020","4","11","15:00","7.1","6.4","316","1021.7"
"Helsinki Kaisaniemi","2020","4","11","16:00","7","5.3","299","1021.6"
"Helsinki Kaisaniemi","2020","4","11","17:00","7.4","5.3","306","1021.4"
"Helsinki Kaisaniemi","2020","4","11","18:00","7.2","4.7","300","1021.2"
"Helsinki Kaisaniemi","2020","4","11","19:00","7.5","4.6","292","1020.8"
"Helsinki Kaisaniemi","2020","4","11","20:00","6.7","3.7","303","1020.7"
"Helsinki Kaisaniemi","2020","4","11","21:00","4.8","1.3","304","1020.7"
"Helsinki Kaisaniemi","2020","4","11","22:00","3.8","1.1","245","1020.7"
"Helsinki Kaisaniemi","2020","4","11","23:00","4.3","3.3","260","1020.6"
"Helsinki Kaisaniemi","2020","4","12","00:00","3.5","3.7","286","1020.5"
"Helsinki Kaisaniemi","2020","4","12","01:00","2.7","2.7","289","1020.2"
"Helsinki Kaisaniemi","2020","4","12","02:00","2.1","2","255","1019.7"
"Helsinki Kaisaniemi","2020","4","12","03:00","2.6","2.5","231","1019.1"
"Helsinki Kaisaniemi","2020","4","12","04:00","3","3.4","210","1018.1"
"Helsinki Kaisaniemi","2020","4","12","05:00","3.2","4.3","200","1017.2"
"Helsinki Kaisaniemi","2020","4","12","06:00","3.1","4.1","165","1015.8"
"Helsinki Kaisaniemi","2020","4","12","07:00","3.1","5.4","168","1014.6"
"Helsinki Kaisaniemi","2020","4","12","08:00","3.4","5.8","174","1013"
"Helsinki Kaisaniemi","2020","4","12","09:00","3.8","5.8","180","1011.6"
"Helsinki Kaisaniemi","2020","4","12","10:00","3.8","6.2","181","1010.3"
"Helsinki Kaisaniemi","2020","4","12","11:00","3.5","7","181","1009"
"Helsinki Kaisaniemi","2020","4","12","12:00","3.6","6.3","184","1007.4"
"Helsinki Kaisaniemi","2020","4","12","13:00","3.8","6.3","187","1006.1"
"Helsinki Kaisaniemi","2020","4","12","14:00","3.9","6.6","187","1004.6"
"Helsinki Kaisaniemi","2020","4","12","15:00","4.4","5.5","198","1003.1"
"Helsinki Kaisaniemi","2020","4","12","16:00","5.1","7.6","212","1001.7"
"Helsinki Kaisaniemi","2020","4","12","17:00","5.5","7.3","221","1000.6"
"Helsinki Kaisaniemi","2020","4","12","18:00","5.7","6.5","223","999.5"
"Helsinki Kaisaniemi","2020","4","12","19:00","5.5","6.4","223","998.6"
"Helsinki Kaisaniemi","2020","4","12","20:00","5.6","5.7","226","997.6"
"Helsinki Kaisaniemi","2020","4","12","21:00","5.9","6.3","226","996.9"
"Helsinki Kaisaniemi","2020","4","12","22:00","6.2","6.4","226","995.9"
"Helsinki Kaisaniemi","2020","4","12","23:00","6","5.7","222","994.8"
"Helsinki Kaisaniemi","2020","4","13","00:00","6.3","5.5","237","994.1"
"Helsinki Kaisaniemi","2020","4","13","01:00","5.7","5.1","215","993"
"Helsinki Kaisaniemi","2020","4","13","02:00","5.5","5.5","222","991.6"
"Helsinki Kaisaniemi","2020","4","13","03:00","5.2","3.9","226","990.7"
"Helsinki Kaisaniemi","2020","4","13","04:00","5.1","3.3","231","989.7"
"Helsinki Kaisaniemi","2020","4","13","05:00","5.3","3.6","254","989.2"
"Helsinki Kaisaniemi","2020","4","13","06:00","5.3","4.1","260","989"
"Helsinki Kaisaniemi","2020","4","13","07:00","4.3","5.4","305","989.5"
"Helsinki Kaisaniemi","2020","4","13","08:00","3.4","6.2","309","990.2"
"Helsinki Kaisaniemi","2020","4","13","09:00","3.3","6.2","309","990.6"
"Helsinki Kaisaniemi","2020","4","13","10:00","3.2","6.3","309","990.9"
"Helsinki Kaisaniemi","2020","4","13","11:00","4.1","4.9","306","991.3"
"Helsinki Kaisaniemi","2020","4","13","12:00","5.4","5.1","294","991.7"
"Helsinki Kaisaniemi","2020","4","13","13:00","6.3","6.1","286","992.1"
"Helsinki Kaisaniemi","2020","4","13","14:00","6.5","5.6","281","992.3"
"Helsinki Kaisaniemi","2020","4","13","15:00","7","7","271","992.5"
"Helsinki Kaisaniemi","2020","4","13","16:00","6.9","6.6","265","992.6"
"Helsinki Kaisaniemi","2020","4","13","17:00","6.6","6.8","267","992.7"
"Helsinki Kaisaniemi","2020","4","13","18:00","6","7.5","270","993.1"
"Helsinki Kaisaniemi","2020","4","13","19:00","4.3","6.7","298","993.8"
"Helsinki Kaisaniemi","2020","4","13","20:00","3.1","6.4","290","994.4"
"Helsinki Kaisaniemi","2020","4","13","21:00","2.2","4.8","271","994.6"
"Helsinki Kaisaniemi","2020","4","13","22:00","1.8","4.7","269","994.4"
"Helsinki Kaisaniemi","2020","4","13","23:00","1.8","5.1","262","994.1"
"Helsinki Kaisaniemi","2020","4","14","00:00","1.3","5.4","261","993.9"
"Helsinki Kaisaniemi","2020","4","14","01:00","0.9","4.6","264","993.7"
"Helsinki Kaisaniemi","2020","4","14","02:00","0.9","3.6","274","993.6"
"Helsinki Kaisaniemi","2020","4","14","03:00","1","3.9","270","993.3"
"Helsinki Kaisaniemi","2020","4","14","04:00","1","4.9","290","993.1"
"Helsinki Kaisaniemi","2020","4","14","05:00","0.7","4.5","291","993.2"
"Helsinki Kaisaniemi","2020","4","14","06:00","0.5","3.9","281","993.2"
"Helsinki Kaisaniemi","2020","4","14","07:00","0.5","3.8","282","993"
"Helsinki Kaisaniemi","2020","4","14","08:00","0.7","4.2","300","993"
"Helsinki Kaisaniemi","2020","4","14","09:00","1.1","4.9","315","993.5"
"Helsinki Kaisaniemi","2020","4","14","10:00","1.3","5.9","327","994"
"Helsinki Kaisaniemi","2020","4","14","11:00","2.3","6.1","336","994.8"
"Helsinki Kaisaniemi","2020","4","14","12:00","2.6","7.1","326","995.5"
"Helsinki Kaisaniemi","2020","4","14","13:00","3.4","7.6","331","996.1"
"Helsinki Kaisaniemi","2020","4","14","14:00","4.1","6.7","333","996.6"
"Helsinki Kaisaniemi","2020","4","14","15:00","4","6.7","327","997.1"
"Helsinki Kaisaniemi","2020","4","14","16:00","5","7.3","320","997.7"
"Helsinki Kaisaniemi","2020","4","14","17:00","3.1","3.9","360","998.3"
"Helsinki Kaisaniemi","2020","4","14","18:00","4","4.1","339","998.8"
"Helsinki Kaisaniemi","2020","4","14","19:00","4","4.4","314","999.3"
"Helsinki Kaisaniemi","2020","4","14","20:00","2.5","5.2","320","1000"
"Helsinki Kaisaniemi","2020","4","14","21:00","1.3","3.7","307","1000.4"
"Helsinki Kaisaniemi","2020","4","14","22:00","1.5","4.5","311","1000.7"
