"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Tuulen suunta keskiarvo [°]","Näkyvyys keskiarvo [m]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Pilvisyys [1/8]","Ilman lämpötila keskiarvo [°C]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2023","4","15","20:00","84.7","50000","1027.9","Selkeää (0/8)","5.5","6.8"
"Helsinki Kaisaniemi","2023","4","15","21:00","83.9","49434","1028.1","Selkeää (0/8)","4.8","5.8"
"Helsinki Kaisaniemi","2023","4","15","22:00","82.6","50000","1028.2","Selkeää (0/8)","4.3","4.8"
"Helsinki Kaisaniemi","2023","4","15","23:00","81.7","49534","1027.9","Selkeää (0/8)","3.9","4.9"
"Helsinki Kaisaniemi","2023","4","16","00:00","84.3","50000","1027.8","Selkeää (0/8)","3.8","4.3"
"Helsinki Kaisaniemi","2023","4","16","01:00","80.9","50000","1027.7","Selkeää (0/8)","3.3","4"
"Helsinki Kaisaniemi","2023","4","16","02:00","70.4","50000","1027.8","Selkeää (0/8)","2.5","2.9"
"Helsinki Kaisaniemi","2023","4","16","03:00","64.9","50000","1027.8","Selkeää (0/8)","1.8","3.1"
"Helsinki Kaisaniemi","2023","4","16","04:00","68.2","49984","1027.6","Selkeää (0/8)","1.5","3.4"
"Helsinki Kaisaniemi","2023","4","16","05:00","71.3","49684","1027.4","Selkeää (0/8)","1.3","3.6"
"Helsinki Kaisaniemi","2023","4","16","06:00","73.5","49968","1027.2","Selkeää (0/8)","0.8","3"
"Helsinki Kaisaniemi","2023","4","16","07:00","73.3","49732","1027.2","Selkeää (0/8)","0.7","3.3"
"Helsinki Kaisaniemi","2023","4","16","08:00","75","48343","1027.1","Selkeää (0/8)","1.7","3.3"
"Helsinki Kaisaniemi","2023","4","16","09:00","72.1","47990","1026.9","Selkeää (0/8)","4","3.4"
"Helsinki Kaisaniemi","2023","4","16","10:00","87.4","46672","1026.8","Selkeää (0/8)","5.7","3.1"
"Helsinki Kaisaniemi","2023","4","16","11:00","110.5","42885","1026.7","Selkeää (0/8)","6.7","4.2"
"Helsinki Kaisaniemi","2023","4","16","12:00","106.4","44005","1026.8","Selkeää (0/8)","7.6","4.2"
"Helsinki Kaisaniemi","2023","4","16","13:00","110.1","42703","1026.8","Selkeää (0/8)","8.1","4.3"
"Helsinki Kaisaniemi","2023","4","16","14:00","109.6","39959","1026.7","Selkeää (0/8)","9","5.6"
"Helsinki Kaisaniemi","2023","4","16","15:00","108.7","42547","1026.7","Selkeää (0/8)","9.5","6"
"Helsinki Kaisaniemi","2023","4","16","16:00","103.7","42485","1026.6","Selkeää (0/8)","9.5","5.1"
"Helsinki Kaisaniemi","2023","4","16","17:00","109.6","46882","1026.5","Selkeää (0/8)","8.5","3.8"
"Helsinki Kaisaniemi","2023","4","16","18:00","108.7","45894","1026.3","Selkeää (0/8)","8.2","4.1"
"Helsinki Kaisaniemi","2023","4","16","19:00","99.8","49295","1026.4","Selkeää (0/8)","7.9","3.9"
"Helsinki Kaisaniemi","2023","4","16","20:00","106.3","49266","1026.4","Selkeää (0/8)","7","3.6"
"Helsinki Kaisaniemi","2023","4","16","21:00","100.3","49528","1026.6","Selkeää (0/8)","5.8","2.7"
"Helsinki Kaisaniemi","2023","4","16","22:00","92.7","49374","1026.8","Selkeää (0/8)","5.4","2.6"
"Helsinki Kaisaniemi","2023","4","16","23:00","90.9","48927","1026.7","Selkeää (0/8)","3.9","2.2"
"Helsinki Kaisaniemi","2023","4","17","00:00","113","44118","1026.7","Selkeää (0/8)","3.2","1"
"Helsinki Kaisaniemi","2023","4","17","01:00","97.8","38927","1026.8","Selkeää (0/8)","2.2","0.7"
"Helsinki Kaisaniemi","2023","4","17","02:00","23.7","35225","1027.1","Selkeää (0/8)","1.3","0.8"
"Helsinki Kaisaniemi","2023","4","17","03:00","301.1","39743","1027.3","Selkeää (0/8)","1.6","1"
"Helsinki Kaisaniemi","2023","4","17","04:00","323.6","45381","1027.3","Selkeää (0/8)","1.3","1"
"Helsinki Kaisaniemi","2023","4","17","05:00","321","46730","1027.5","Selkeää (0/8)","0.9","1"
"Helsinki Kaisaniemi","2023","4","17","06:00","221.3","39604","1027.6","Selkeää (0/8)","0.9","0.5"
"Helsinki Kaisaniemi","2023","4","17","07:00","212.4","34246","1028","Selkeää (0/8)","0.3","0.6"
"Helsinki Kaisaniemi","2023","4","17","08:00","113.3","26989","1028.3","Selkeää (0/8)","2.2","1"
"Helsinki Kaisaniemi","2023","4","17","09:00","274.1","20546","1028.5","Selkeää (0/8)","7.1","1"
"Helsinki Kaisaniemi","2023","4","17","10:00","165.3","24751","1028.9","Selkeää (0/8)","9.6","1.4"
"Helsinki Kaisaniemi","2023","4","17","11:00","81.1","27918","1029.1","Selkeää (0/8)","11","1.8"
"Helsinki Kaisaniemi","2023","4","17","12:00","124.7","34005","1029.3","Selkeää (0/8)","12.2","1.7"
"Helsinki Kaisaniemi","2023","4","17","13:00","181.4","29226","1029.5","Selkeää (0/8)","11.2","3.3"
"Helsinki Kaisaniemi","2023","4","17","14:00","183.1","33450","1029.6","Selkeää (0/8)","10.7","3.3"
"Helsinki Kaisaniemi","2023","4","17","15:00","186.9","36248","1029.8","Selkeää (0/8)","10.7","3.3"
"Helsinki Kaisaniemi","2023","4","17","16:00","216.4","33839","1030","Selkeää (0/8)","10","3"
"Helsinki Kaisaniemi","2023","4","17","17:00","227","35532","1030","Selkeää (0/8)","10.3","3.2"
"Helsinki Kaisaniemi","2023","4","17","18:00","219.6","30293","1029.9","Selkeää (0/8)","10.3","4.1"
"Helsinki Kaisaniemi","2023","4","17","19:00","218.1","37417","1029.9","Selkeää (0/8)","9.8","3.7"
"Helsinki Kaisaniemi","2023","4","17","20:00","237.5","40080","1030","Selkeää (0/8)","10.2","3.1"
"Helsinki Kaisaniemi","2023","4","17","21:00","272.9","40951","1030.4","Selkeää (0/8)","9","1.7"
"Helsinki Kaisaniemi","2023","4","17","22:00","308.7","37420","1030.7","Selkeää (0/8)","6.8","1.2"
"Helsinki Kaisaniemi","2023","4","17","23:00","31.2","32127","1030.7","Melko selkeää (3/8)","4.9","0.5"
"Helsinki Kaisaniemi","2023","4","18","00:00","205.9","28615","1030.9","Melko pilvistä (7/8)","4.5","1.5"
"Helsinki Kaisaniemi","2023","4","18","01:00","5.8","44067","1031.3","Melko pilvistä (7/8)","6.8","2.7"
"Helsinki Kaisaniemi","2023","4","18","02:00","8.4","50000","1031.5","Melko pilvistä (7/8)","6.8","3.1"
"Helsinki Kaisaniemi","2023","4","18","03:00","6.2","50000","1031.4","Melko pilvistä (7/8)","5.8","3"
"Helsinki Kaisaniemi","2023","4","18","04:00","5.5","50000","1031.5","Melko pilvistä (7/8)","5.6","3.7"
"Helsinki Kaisaniemi","2023","4","18","05:00","5.1","50000","1031.9","Selkeää (1/8)","4.6","3.7"
"Helsinki Kaisaniemi","2023","4","18","06:00","11.3","50000","1031.9","Melko selkeää (2/8)","4.4","3.7"
"Helsinki Kaisaniemi","2023","4","18","07:00","5.6","48287","1032","Selkeää (0/8)","3.8","3.8"
"Helsinki Kaisaniemi","2023","4","18","08:00","5.4","45561","1032.2","Selkeää (0/8)","4.3","3.7"
"Helsinki Kaisaniemi","2023","4","18","09:00","320.6","42515","1032.4","Selkeää (1/8)","4.9","3.7"
"Helsinki Kaisaniemi","2023","4","18","10:00","39.7","41024","1032.5","Melko pilvistä (7/8)","6.5","4"
"Helsinki Kaisaniemi","2023","4","18","11:00","117","38197","1032.3","Melko pilvistä (6/8)","8.3","3.9"
"Helsinki Kaisaniemi","2023","4","18","12:00","26.1","36128","1032.3","Selkeää (1/8)","10.2","5.2"
"Helsinki Kaisaniemi","2023","4","18","13:00","30.6","38536","1032.3","Melko selkeää (2/8)","12.1","5.2"
"Helsinki Kaisaniemi","2023","4","18","14:00","30.8","36625","1032.2","Selkeää (0/8)","13.1","5.6"
"Helsinki Kaisaniemi","2023","4","18","15:00","-","39407","1032.2","Selkeää (0/8)","13.6","-"
"Helsinki Kaisaniemi","2023","4","18","16:00","49.5","39272","1032.1","Selkeää (0/8)","13.5","5.7"
"Helsinki Kaisaniemi","2023","4","18","17:00","38.5","39403","1032.2","Selkeää (0/8)","13.5","5.4"
"Helsinki Kaisaniemi","2023","4","18","18:00","45.8","39753","1032.4","Selkeää (0/8)","13.1","5.8"
"Helsinki Kaisaniemi","2023","4","18","19:00","59.7","39090","1032.8","Selkeää (0/8)","12.6","5.8"
"Helsinki Kaisaniemi","2023","4","18","20:00","62.7","38967","1033.1","Selkeää (0/8)","11.8","5.5"
"Helsinki Kaisaniemi","2023","4","18","21:00","51.6","42652","1033.7","Selkeää (0/8)","10.8","4.2"
"Helsinki Kaisaniemi","2023","4","18","22:00","38.3","49726","1034.2","Selkeää (0/8)","9.6","3.2"
"Helsinki Kaisaniemi","2023","4","18","23:00","28.3","50000","1034.4","Selkeää (0/8)","8.5","3.2"
"Helsinki Kaisaniemi","2023","4","19","00:00","-","50000","1034.8","Selkeää (0/8)","7.6","-"
"Helsinki Kaisaniemi","2023","4","19","01:00","25.4","50000","1035.1","Selkeää (0/8)","6.9","3.5"
"Helsinki Kaisaniemi","2023","4","19","02:00","23.5","50000","1035.3","Selkeää (0/8)","6.3","3.6"
"Helsinki Kaisaniemi","2023","4","19","03:00","28.5","50000","1035.2","Selkeää (0/8)","5.8","4"
"Helsinki Kaisaniemi","2023","4","19","04:00","28.6","50000","1035.3","Selkeää (0/8)","5.1","3.7"
"Helsinki Kaisaniemi","2023","4","19","05:00","28.5","50000","1035.6","Selkeää (0/8)","4.6","4"
"Helsinki Kaisaniemi","2023","4","19","06:00","28.5","50000","1035.5","Selkeää (0/8)","4.1","3.7"
"Helsinki Kaisaniemi","2023","4","19","07:00","27.3","50000","1035.6","Selkeää (0/8)","3.9","3.7"
"Helsinki Kaisaniemi","2023","4","19","08:00","29.5","49466","1035.6","Selkeää (0/8)","4.6","4"
"Helsinki Kaisaniemi","2023","4","19","09:00","34.1","44744","1035.8","Selkeää (0/8)","6.7","4"
"Helsinki Kaisaniemi","2023","4","19","10:00","41.9","37383","1035.9","Selkeää (0/8)","8.6","3.9"
"Helsinki Kaisaniemi","2023","4","19","11:00","58.4","41660","1035.9","Selkeää (0/8)","9.9","5.1"
"Helsinki Kaisaniemi","2023","4","19","12:00","56.3","45523","1035.5","Selkeää (0/8)","11.1","5.3"
"Helsinki Kaisaniemi","2023","4","19","13:00","56","43267","1035.2","Selkeää (0/8)","12.1","5.5"
"Helsinki Kaisaniemi","2023","4","19","14:00","62.6","42484","1034.6","Selkeää (0/8)","12.9","4.6"
"Helsinki Kaisaniemi","2023","4","19","15:00","102.6","44683","1034.3","Selkeää (0/8)","12.6","3.8"
"Helsinki Kaisaniemi","2023","4","19","16:00","144.9","44408","1033.9","Selkeää (0/8)","11.8","3.1"
"Helsinki Kaisaniemi","2023","4","19","17:00","155.3","46990","1033.6","Selkeää (0/8)","12","2.3"
"Helsinki Kaisaniemi","2023","4","19","18:00","169.5","48577","1033.3","Selkeää (0/8)","12","1.7"
"Helsinki Kaisaniemi","2023","4","19","19:00","140.8","50000","1033.1","Selkeää (0/8)","11.3","2.4"
"Helsinki Kaisaniemi","2023","4","19","20:00","131.6","50000","1033","Selkeää (0/8)","10","1.5"
"Helsinki Kaisaniemi","2023","4","19","21:00","134.8","46308","1033.2","Selkeää (0/8)","9.1","0.9"
"Helsinki Kaisaniemi","2023","4","19","22:00","280.3","39990","1033.4","Selkeää (0/8)","7.4","1.1"
"Helsinki Kaisaniemi","2023","4","19","23:00","308.8","49113","1033.6","Selkeää (0/8)","6.5","2"
"Helsinki Kaisaniemi","2023","4","20","00:00","27.6","49342","1033.6","Selkeää (0/8)","6.7","2.8"
"Helsinki Kaisaniemi","2023","4","20","01:00","26.8","50000","1033.7","Selkeää (1/8)","6.9","2.9"
"Helsinki Kaisaniemi","2023","4","20","02:00","186.6","50000","1033.4","Selkeää (1/8)","5.9","1.2"
"Helsinki Kaisaniemi","2023","4","20","03:00","52.9","50000","1033.2","Pilvistä (8/8)","5.3","0.8"
"Helsinki Kaisaniemi","2023","4","20","04:00","275.2","50000","1032.9","Melko selkeää (2/8)","5","1.1"
"Helsinki Kaisaniemi","2023","4","20","05:00","333.1","50000","1032.6","Melko selkeää (2/8)","3.8","1.3"
"Helsinki Kaisaniemi","2023","4","20","06:00","323.2","50000","1032.2","Melko pilvistä (7/8)","3.5","1.4"
"Helsinki Kaisaniemi","2023","4","20","07:00","318","50000","1032","Melko pilvistä (7/8)","4.6","1.3"
"Helsinki Kaisaniemi","2023","4","20","08:00","320.2","39276","1032","Puolipilvistä (5/8)","6.3","1.7"
"Helsinki Kaisaniemi","2023","4","20","09:00","302.6","38619","1031.7","Pilvistä (8/8)","9.1","1.9"
"Helsinki Kaisaniemi","2023","4","20","10:00","296.6","39315","1031.4","Pilvistä (8/8)","10","2.2"
"Helsinki Kaisaniemi","2023","4","20","11:00","277.2","38282","1030.9","Pilvistä (8/8)","11.7","3"
"Helsinki Kaisaniemi","2023","4","20","12:00","313.2","48729","1030.4","Melko pilvistä (7/8)","13.5","4.4"
"Helsinki Kaisaniemi","2023","4","20","13:00","304.8","46260","1029.8","Melko pilvistä (6/8)","15","4.4"
"Helsinki Kaisaniemi","2023","4","20","14:00","284.1","43953","1029","Puolipilvistä (4/8)","15.6","4.7"
"Helsinki Kaisaniemi","2023","4","20","15:00","230","38052","1028.3","Melko selkeää (3/8)","14.5","4.1"
"Helsinki Kaisaniemi","2023","4","20","16:00","219.3","42298","1027.5","Puolipilvistä (5/8)","12.6","4.5"
"Helsinki Kaisaniemi","2023","4","20","17:00","228.9","41420","1026.6","Selkeää (0/8)","14","3.3"
"Helsinki Kaisaniemi","2023","4","20","18:00","235","45013","1026","Selkeää (0/8)","15.3","3"
"Helsinki Kaisaniemi","2023","4","20","19:00","247.7","48745","1025.5","Puolipilvistä (4/8)","15.5","3.1"
"Helsinki Kaisaniemi","2023","4","20","20:00","304.4","49428","1025.2","Selkeää (0/8)","15.1","4.1"
"Helsinki Kaisaniemi","2023","4","20","21:00","311.9","50000","1025.1","Selkeää (0/8)","13.6","3.5"
"Helsinki Kaisaniemi","2023","4","20","22:00","316.4","50000","1025","Selkeää (0/8)","12.3","3.4"
"Helsinki Kaisaniemi","2023","4","20","23:00","316.7","42412","1024.9","Selkeää (0/8)","11","3"
"Helsinki Kaisaniemi","2023","4","21","00:00","315.1","50000","1024.8","Selkeää (0/8)","10.3","3.2"
"Helsinki Kaisaniemi","2023","4","21","01:00","321.1","50000","1024.5","Selkeää (0/8)","9.8","3.6"
"Helsinki Kaisaniemi","2023","4","21","02:00","327.3","50000","1024.2","Selkeää (0/8)","8.9","3.4"
"Helsinki Kaisaniemi","2023","4","21","03:00","352","49146","1024","Selkeää (0/8)","8","3"
"Helsinki Kaisaniemi","2023","4","21","04:00","338.9","50000","1023.8","Selkeää (0/8)","7.5","2.7"
"Helsinki Kaisaniemi","2023","4","21","05:00","333","50000","1023.6","Selkeää (0/8)","6.9","2.5"
"Helsinki Kaisaniemi","2023","4","21","06:00","329.4","50000","1023.3","Selkeää (0/8)","6.5","2.3"
"Helsinki Kaisaniemi","2023","4","21","07:00","323.3","50000","1023.2","Selkeää (0/8)","6.4","2.3"
"Helsinki Kaisaniemi","2023","4","21","08:00","320","48129","1023.1","Selkeää (0/8)","6.9","2.9"
"Helsinki Kaisaniemi","2023","4","21","09:00","321","42880","1022.7","Selkeää (0/8)","10.1","1.1"
"Helsinki Kaisaniemi","2023","4","21","10:00","301.9","35784","1022.1","Selkeää (0/8)","13.5","0.8"
"Helsinki Kaisaniemi","2023","4","21","11:00","262.3","40457","1021.6","Selkeää (0/8)","14.3","2.3"
"Helsinki Kaisaniemi","2023","4","21","12:00","225.7","40079","1021","Selkeää (0/8)","14.6","3.2"
"Helsinki Kaisaniemi","2023","4","21","13:00","216.9","35988","1020.4","Selkeää (0/8)","13.3","4.7"
"Helsinki Kaisaniemi","2023","4","21","14:00","217.9","36669","1019.7","Puolipilvistä (4/8)","13.6","5.8"
"Helsinki Kaisaniemi","2023","4","21","15:00","217.1","37883","1019.1","Melko pilvistä (7/8)","13.7","4.9"
"Helsinki Kaisaniemi","2023","4","21","16:00","225","43316","1018.5","Melko pilvistä (7/8)","13.8","3.8"
"Helsinki Kaisaniemi","2023","4","21","17:00","227.1","43237","1017.8","Melko pilvistä (7/8)","14.1","3.7"
"Helsinki Kaisaniemi","2023","4","21","18:00","228.7","47526","1017.1","Melko pilvistä (6/8)","14.8","4.3"
"Helsinki Kaisaniemi","2023","4","21","19:00","233.8","49802","1016.5","Selkeää (0/8)","15.2","3.5"
"Helsinki Kaisaniemi","2023","4","21","20:00","233.9","49900","1016","Selkeää (1/8)","14.3","3.2"
"Helsinki Kaisaniemi","2023","4","21","21:00","255.7","48885","1015.8","Selkeää (0/8)","13","2.5"
"Helsinki Kaisaniemi","2023","4","21","22:00","301.8","42852","1015.6","Melko selkeää (3/8)","10.7","0.9"
"Helsinki Kaisaniemi","2023","4","21","23:00","265","38981","1015.3","Selkeää (0/8)","8.8","0.9"
"Helsinki Kaisaniemi","2023","4","22","00:00","327.4","36600","1015.2","Selkeää (0/8)","8.4","2.1"
"Helsinki Kaisaniemi","2023","4","22","01:00","334.7","48153","1015.2","Selkeää (0/8)","8.8","3"
"Helsinki Kaisaniemi","2023","4","22","02:00","323.7","50000","1014.9","Selkeää (0/8)","8.8","2.4"
"Helsinki Kaisaniemi","2023","4","22","03:00","323.3","50000","1014.8","Selkeää (0/8)","7.8","1.7"
"Helsinki Kaisaniemi","2023","4","22","04:00","327.7","50000","1014.5","Selkeää (0/8)","7.2","2.1"
"Helsinki Kaisaniemi","2023","4","22","05:00","327.4","50000","1014.3","Selkeää (0/8)","6.5","1.7"
"Helsinki Kaisaniemi","2023","4","22","06:00","334","50000","1014.2","Selkeää (0/8)","6.5","1.8"
"Helsinki Kaisaniemi","2023","4","22","07:00","336.6","50000","1014","Selkeää (0/8)","6.4","1.8"
"Helsinki Kaisaniemi","2023","4","22","08:00","335","50000","1013.9","Selkeää (0/8)","8.3","2"
"Helsinki Kaisaniemi","2023","4","22","09:00","328","49958","1013.9","Selkeää (0/8)","11.9","1.5"
"Helsinki Kaisaniemi","2023","4","22","10:00","292.9","46931","1013.6","Selkeää (0/8)","13.8","2.6"
"Helsinki Kaisaniemi","2023","4","22","11:00","243","45132","1013.4","Selkeää (0/8)","13.3","3.1"
"Helsinki Kaisaniemi","2023","4","22","12:00","213.2","42529","1013.2","Selkeää (0/8)","14.1","3.1"
"Helsinki Kaisaniemi","2023","4","22","13:00","217.2","44410","1012.9","Selkeää (0/8)","14.3","4"
"Helsinki Kaisaniemi","2023","4","22","14:00","215.6","40551","1012.4","Selkeää (0/8)","14.9","4.7"
"Helsinki Kaisaniemi","2023","4","22","15:00","217.5","37846","1012.1","Selkeää (0/8)","13","4.8"
"Helsinki Kaisaniemi","2023","4","22","16:00","216.9","39273","1011.7","Selkeää (0/8)","13.6","5.3"
"Helsinki Kaisaniemi","2023","4","22","17:00","222","46770","1011.5","Selkeää (0/8)","12.9","5.2"
"Helsinki Kaisaniemi","2023","4","22","18:00","226.5","45450","1011.2","Selkeää (0/8)","11.8","4.7"
"Helsinki Kaisaniemi","2023","4","22","19:00","226.8","50000","1011","Selkeää (0/8)","11.1","4.8"
"Helsinki Kaisaniemi","2023","4","22","20:00","222.7","50000","1010.8","Selkeää (0/8)","11.5","3.2"
"Helsinki Kaisaniemi","2023","4","22","21:00","244.4","49642","1010.7","Selkeää (0/8)","12.5","3.2"
"Helsinki Kaisaniemi","2023","4","22","22:00","256.7","50000","1011","Selkeää (0/8)","12.8","3.4"
"Helsinki Kaisaniemi","2023","4","22","23:00","266.6","49311","1011.2","Selkeää (0/8)","11.7","3.8"
"Helsinki Kaisaniemi","2023","4","23","00:00","277","46709","1011.2","Selkeää (0/8)","10.7","3.6"
"Helsinki Kaisaniemi","2023","4","23","01:00","276","50000","1011.3","Selkeää (0/8)","9.9","3.4"
"Helsinki Kaisaniemi","2023","4","23","02:00","277.6","50000","1011.4","Selkeää (0/8)","9.3","3.3"
"Helsinki Kaisaniemi","2023","4","23","03:00","280.7","50000","1011.7","Selkeää (0/8)","8.5","2.9"
"Helsinki Kaisaniemi","2023","4","23","04:00","284.7","50000","1011.5","Selkeää (0/8)","7.3","2.4"
"Helsinki Kaisaniemi","2023","4","23","05:00","274.1","50000","1011.5","Selkeää (0/8)","6","1.9"
"Helsinki Kaisaniemi","2023","4","23","06:00","252.4","50000","1011.4","Selkeää (0/8)","6","1.2"
"Helsinki Kaisaniemi","2023","4","23","07:00","273.5","50000","1011.3","Selkeää (0/8)","5.5","0.8"
"Helsinki Kaisaniemi","2023","4","23","08:00","226.8","50000","1011.4","Selkeää (0/8)","7.2","1.1"
"Helsinki Kaisaniemi","2023","4","23","09:00","215.3","49539","1011.5","Selkeää (0/8)","7.9","2.3"
"Helsinki Kaisaniemi","2023","4","23","10:00","221.2","47324","1011.5","Selkeää (0/8)","8.6","2.5"
"Helsinki Kaisaniemi","2023","4","23","11:00","212.2","45505","1011.3","Selkeää (0/8)","9.2","3.7"
"Helsinki Kaisaniemi","2023","4","23","12:00","206","44917","1011.2","Selkeää (0/8)","9.5","4"
"Helsinki Kaisaniemi","2023","4","23","13:00","207.4","45280","1011.1","Selkeää (0/8)","10.9","4.3"
"Helsinki Kaisaniemi","2023","4","23","14:00","205.6","42640","1010.6","Selkeää (0/8)","12.5","4.4"
"Helsinki Kaisaniemi","2023","4","23","15:00","208.4","42541","1010","Selkeää (0/8)","13.7","3.6"
"Helsinki Kaisaniemi","2023","4","23","16:00","205.1","45066","1009.5","Selkeää (0/8)","14.4","2.6"
"Helsinki Kaisaniemi","2023","4","23","17:00","168.1","41830","1008.8","Selkeää (0/8)","13.5","2.9"
"Helsinki Kaisaniemi","2023","4","23","18:00","127","41096","1008.5","Selkeää (0/8)","11.4","3.2"
"Helsinki Kaisaniemi","2023","4","23","19:00","119.9","50000","1008","Selkeää (0/8)","11.2","3.9"
"Helsinki Kaisaniemi","2023","4","23","20:00","117.8","50000","1007.6","Selkeää (0/8)","10.2","3.5"
"Helsinki Kaisaniemi","2023","4","23","21:00","122.5","50000","1007.1","Selkeää (0/8)","8.8","2.6"
"Helsinki Kaisaniemi","2023","4","23","22:00","113.6","50000","1006.8","Selkeää (0/8)","7.8","2.4"
"Helsinki Kaisaniemi","2023","4","23","23:00","114.4","50000","1006.4","Selkeää (1/8)","7","2.4"
"Helsinki Kaisaniemi","2023","4","24","00:00","121","47418","1005.3","Melko pilvistä (6/8)","7.5","2.5"
"Helsinki Kaisaniemi","2023","4","24","01:00","163.5","49402","1004.5","Selkeää (0/8)","10.8","4.9"
"Helsinki Kaisaniemi","2023","4","24","02:00","168.3","48810","1003.9","Selkeää (0/8)","11.7","5.6"
"Helsinki Kaisaniemi","2023","4","24","03:00","172.5","48536","1003","Selkeää (0/8)","9.9","6"
"Helsinki Kaisaniemi","2023","4","24","04:00","177.8","48408","1002.2","Selkeää (0/8)","9.7","5.7"
"Helsinki Kaisaniemi","2023","4","24","05:00","184.8","47964","1001.6","Selkeää (0/8)","9","5.7"
"Helsinki Kaisaniemi","2023","4","24","06:00","205.7","44581","1001.5","Selkeää (0/8)","9.4","5.4"
"Helsinki Kaisaniemi","2023","4","24","07:00","215","40262","1001.8","Melko pilvistä (7/8)","8.9","5"
"Helsinki Kaisaniemi","2023","4","24","08:00","215.1","26191","1002.1","Pilvistä (8/8)","7.6","4.6"
"Helsinki Kaisaniemi","2023","4","24","09:00","227.1","9967","1002.5","Melko pilvistä (7/8)","6.9","3.7"
"Helsinki Kaisaniemi","2023","4","24","10:00","233.1","9877","1003.2","Puolipilvistä (5/8)","7.3","3.6"
"Helsinki Kaisaniemi","2023","4","24","11:00","226.9","12163","1004","Melko selkeää (3/8)","8.5","3.8"
"Helsinki Kaisaniemi","2023","4","24","12:00","220.3","9238","1004.7","Puolipilvistä (4/8)","7.2","5.1"
"Helsinki Kaisaniemi","2023","4","24","13:00","220","15693","1005.2","Selkeää (0/8)","7.8","4.9"
"Helsinki Kaisaniemi","2023","4","24","14:00","219.3","24592","1005.6","Selkeää (0/8)","9.3","4.9"
"Helsinki Kaisaniemi","2023","4","24","15:00","220.3","31106","1006.2","Selkeää (0/8)","9.3","5.5"
"Helsinki Kaisaniemi","2023","4","24","16:00","219.3","36595","1006.4","Selkeää (0/8)","9.6","5.7"
"Helsinki Kaisaniemi","2023","4","24","17:00","218.6","43103","1006.4","Selkeää (0/8)","9.6","4.1"
"Helsinki Kaisaniemi","2023","4","24","18:00","222.4","43529","1006.6","Selkeää (0/8)","7.4","4.7"
"Helsinki Kaisaniemi","2023","4","24","19:00","233.2","50000","1006.4","Selkeää (0/8)","9.1","3.1"
"Helsinki Kaisaniemi","2023","4","24","20:00","255.3","50000","1006","Selkeää (0/8)","10.4","2.4"
