"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila keskiarvo [°C]","Pilvisyys [1/8]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Tuulen suunta keskiarvo [°]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2024","4","2","18:00","2.6","Pilvistä (8/8)","999.1","50.3","6.3"
"Helsinki Kaisaniemi","2024","4","2","19:00","2","Pilvistä (8/8)","998.9","46","6"
"Helsinki Kaisaniemi","2024","4","2","20:00","1.4","Pilvistä (8/8)","998","43.6","7.1"
"Helsinki Kaisaniemi","2024","4","2","21:00","1","Pilvistä (8/8)","997.4","48.2","7.2"
"Helsinki Kaisaniemi","2024","4","2","22:00","0.8","Pilvistä (8/8)","996.6","42.8","6.7"
"Helsinki Kaisaniemi","2024","4","2","23:00","0.7","Pilvistä (8/8)","996.7","47.5","5.5"
"Helsinki Kaisaniemi","2024","4","3","00:00","0.6","Pilvistä (8/8)","995.8","40.5","5.5"
"Helsinki Kaisaniemi","2024","4","3","01:00","0.4","Pilvistä (8/8)","995.6","37.6","5.1"
"Helsinki Kaisaniemi","2024","4","3","02:00","0.1","Pilvistä (8/8)","995.3","26.6","5.3"
"Helsinki Kaisaniemi","2024","4","3","03:00","-0.4","Pilvistä (8/8)","994.8","32.5","6.1"
"Helsinki Kaisaniemi","2024","4","3","04:00","-0.6","Pilvistä (8/8)","994.3","30.1","6.1"
"Helsinki Kaisaniemi","2024","4","3","05:00","-0.9","Pilvistä (8/8)","993.6","27","6.7"
"Helsinki Kaisaniemi","2024","4","3","06:00","-1.1","Pilvistä (8/8)","993.4","25.9","5.9"
"Helsinki Kaisaniemi","2024","4","3","07:00","-1.4","Pilvistä (8/8)","993.2","21.6","6"
"Helsinki Kaisaniemi","2024","4","3","08:00","-1.7","Pilvistä (8/8)","993.7","18.3","6.3"
"Helsinki Kaisaniemi","2024","4","3","09:00","-2.2","Pilvistä (8/8)","993.9","9.4","5.5"
"Helsinki Kaisaniemi","2024","4","3","10:00","-2.2","Pilvistä (8/8)","994.4","7.6","5.7"
"Helsinki Kaisaniemi","2024","4","3","11:00","-2","Pilvistä (8/8)","994.6","7.6","5.6"
"Helsinki Kaisaniemi","2024","4","3","12:00","-1.4","Melko pilvistä (7/8)","994.6","39.7","7.3"
"Helsinki Kaisaniemi","2024","4","3","13:00","-1.2","Melko pilvistä (7/8)","995","285.4","7.6"
"Helsinki Kaisaniemi","2024","4","3","14:00","-0.6","Melko selkeää (3/8)","995.2","355.6","7.8"
"Helsinki Kaisaniemi","2024","4","3","15:00","0.1","Puolipilvistä (5/8)","995.8","352.8","7.9"
"Helsinki Kaisaniemi","2024","4","3","16:00","0.3","Melko pilvistä (7/8)","996.7","284.6","7.4"
"Helsinki Kaisaniemi","2024","4","3","17:00","0.2","Melko pilvistä (7/8)","997.8","355.9","8"
"Helsinki Kaisaniemi","2024","4","3","18:00","0.1","Pilvistä (8/8)","998.9","356.2","7.7"
"Helsinki Kaisaniemi","2024","4","3","19:00","-0.5","Pilvistä (8/8)","1000","355.5","7"
"Helsinki Kaisaniemi","2024","4","3","20:00","-0.9","Pilvistä (8/8)","1001.5","-","-"
"Helsinki Kaisaniemi","2024","4","3","21:00","-1.2","Pilvistä (8/8)","1003","285","5.8"
"Helsinki Kaisaniemi","2024","4","3","22:00","-1.2","Pilvistä (8/8)","1004.1","356.8","5.7"
"Helsinki Kaisaniemi","2024","4","3","23:00","-1.4","Pilvistä (8/8)","1005","356.4","5.1"
"Helsinki Kaisaniemi","2024","4","4","00:00","-1.6","Pilvistä (8/8)","1005.9","143.8","5"
"Helsinki Kaisaniemi","2024","4","4","01:00","-1.8","Pilvistä (8/8)","1006.9","285","5.2"
"Helsinki Kaisaniemi","2024","4","4","02:00","-2.2","Melko pilvistä (6/8)","1007.9","215.9","4.3"
"Helsinki Kaisaniemi","2024","4","4","03:00","-3","Selkeää (0/8)","1009","286","3.6"
"Helsinki Kaisaniemi","2024","4","4","04:00","-3.8","Selkeää (1/8)","1010.1","345.7","2.5"
"Helsinki Kaisaniemi","2024","4","4","05:00","-3.7","Pilvistä (8/8)","1011.1","110","2.6"
"Helsinki Kaisaniemi","2024","4","4","06:00","-3.7","Melko pilvistä (7/8)","1011.9","6","2.6"
"Helsinki Kaisaniemi","2024","4","4","07:00","-4.3","Melko selkeää (3/8)","1012.8","46","2.8"
"Helsinki Kaisaniemi","2024","4","4","08:00","-4.8","Selkeää (0/8)","1013.7","354","3.4"
"Helsinki Kaisaniemi","2024","4","4","09:00","-4.5","Selkeää (0/8)","1014.7","46.8","3.8"
"Helsinki Kaisaniemi","2024","4","4","10:00","-3.7","Selkeää (0/8)","1015.2","50","4.1"
"Helsinki Kaisaniemi","2024","4","4","11:00","-3","Selkeää (0/8)","1015.9","72.7","3.9"
"Helsinki Kaisaniemi","2024","4","4","12:00","-2","Selkeää (0/8)","1016.5","76","3.4"
"Helsinki Kaisaniemi","2024","4","4","13:00","-1.1","Selkeää (0/8)","1016.8","111.8","3.1"
"Helsinki Kaisaniemi","2024","4","4","14:00","-0.4","Selkeää (0/8)","1017.3","178.3","3.1"
"Helsinki Kaisaniemi","2024","4","4","15:00","0.1","Selkeää (0/8)","1017.6","36.7","2.7"
"Helsinki Kaisaniemi","2024","4","4","16:00","0.4","Selkeää (0/8)","1018","28.8","2.8"
"Helsinki Kaisaniemi","2024","4","4","17:00","0.2","Selkeää (0/8)","1018.1","91.9","2.8"
"Helsinki Kaisaniemi","2024","4","4","18:00","0.2","Selkeää (0/8)","1018.2","48.9","2.8"
"Helsinki Kaisaniemi","2024","4","4","19:00","-0.8","Selkeää (1/8)","1018.6","97.3","3.9"
"Helsinki Kaisaniemi","2024","4","4","20:00","-1.6","Selkeää (0/8)","1018.7","122.8","3.5"
"Helsinki Kaisaniemi","2024","4","4","21:00","-1.8","Puolipilvistä (4/8)","1019","122.7","3.2"
"Helsinki Kaisaniemi","2024","4","4","22:00","-1.7","Selkeää (0/8)","1019.2","120.9","3.5"
"Helsinki Kaisaniemi","2024","4","4","23:00","-1.6","Melko pilvistä (7/8)","1019.4","114.4","5"
"Helsinki Kaisaniemi","2024","4","5","00:00","-1.6","Melko selkeää (2/8)","1019.4","114.6","5.8"
"Helsinki Kaisaniemi","2024","4","5","01:00","-1.4","Melko pilvistä (7/8)","1019.1","112.2","7"
"Helsinki Kaisaniemi","2024","4","5","02:00","-1.4","Melko pilvistä (7/8)","1019","112","7.5"
"Helsinki Kaisaniemi","2024","4","5","03:00","-1.4","Melko pilvistä (7/8)","1018.6","114.1","8.1"
"Helsinki Kaisaniemi","2024","4","5","04:00","-1.3","Melko pilvistä (7/8)","1018.2","115.1","8.5"
"Helsinki Kaisaniemi","2024","4","5","05:00","-1.1","Melko pilvistä (7/8)","1018","114.9","9"
"Helsinki Kaisaniemi","2024","4","5","06:00","-1.1","Melko pilvistä (7/8)","1017.4","113.6","9"
"Helsinki Kaisaniemi","2024","4","5","07:00","-1.1","Melko pilvistä (7/8)","1016.5","114.2","10.5"
"Helsinki Kaisaniemi","2024","4","5","08:00","-1","Pilvistä (8/8)","1016.2","115.4","10.4"
"Helsinki Kaisaniemi","2024","4","5","09:00","-1.2","Pilvistä (8/8)","1016","117.4","10.1"
"Helsinki Kaisaniemi","2024","4","5","10:00","-1.2","Melko pilvistä (7/8)","1015.3","116.3","11.7"
"Helsinki Kaisaniemi","2024","4","5","11:00","-1.4","Pilvistä (8/8)","1014.6","110.2","11.8"
"Helsinki Kaisaniemi","2024","4","5","12:00","-1.8","Pilvistä (8/8)","1013.9","107.9","10.6"
"Helsinki Kaisaniemi","2024","4","5","13:00","-2.4","Pilvistä (8/8)","1013.1","105.3","9.6"
"Helsinki Kaisaniemi","2024","4","5","14:00","-2.6","Pilvistä (8/8)","1012.5","101.9","9.5"
"Helsinki Kaisaniemi","2024","4","5","15:00","-2.4","Pilvistä (8/8)","1011.9","100.2","8.5"
"Helsinki Kaisaniemi","2024","4","5","16:00","-1.9","Pilvistä (8/8)","1011.1","103.7","8.9"
"Helsinki Kaisaniemi","2024","4","5","17:00","-1.9","Pilvistä (8/8)","1010.3","100.3","8.2"
"Helsinki Kaisaniemi","2024","4","5","18:00","-1.6","Pilvistä (8/8)","1009.4","99.8","7.6"
"Helsinki Kaisaniemi","2024","4","5","19:00","-1.5","Pilvistä (8/8)","1008.7","99.4","7.2"
"Helsinki Kaisaniemi","2024","4","5","20:00","-1","Pilvistä (8/8)","1008.1","100","6.8"
"Helsinki Kaisaniemi","2024","4","5","21:00","-1","Pilvistä (8/8)","1007.7","93.8","6"
"Helsinki Kaisaniemi","2024","4","5","22:00","-0.8","Pilvistä (8/8)","1007.4","88.5","5.1"
"Helsinki Kaisaniemi","2024","4","5","23:00","-0.6","Pilvistä (8/8)","1007.1","83.9","4.5"
"Helsinki Kaisaniemi","2024","4","6","00:00","-0.5","Pilvistä (8/8)","1006.7","62.8","3"
"Helsinki Kaisaniemi","2024","4","6","01:00","-0.6","Pilvistä (8/8)","1006.8","37.9","2"
"Helsinki Kaisaniemi","2024","4","6","02:00","-0.7","Pilvistä (8/8)","1007.1","355","2.2"
"Helsinki Kaisaniemi","2024","4","6","03:00","-0.8","Pilvistä (8/8)","1006.9","77.4","2.6"
"Helsinki Kaisaniemi","2024","4","6","04:00","-0.9","Pilvistä (8/8)","1007.3","339.3","1.7"
"Helsinki Kaisaniemi","2024","4","6","05:00","-1","Pilvistä (8/8)","1007.2","350.9","1.9"
"Helsinki Kaisaniemi","2024","4","6","06:00","-1.1","Pilvistä (8/8)","1007.5","343.2","1.8"
"Helsinki Kaisaniemi","2024","4","6","07:00","-1.2","Pilvistä (8/8)","1007.7","283.7","2"
"Helsinki Kaisaniemi","2024","4","6","08:00","-1.2","Pilvistä (8/8)","1007.6","317.9","2"
"Helsinki Kaisaniemi","2024","4","6","09:00","-0.8","Pilvistä (8/8)","1008","217","1.9"
"Helsinki Kaisaniemi","2024","4","6","10:00","-0.3","Pilvistä (8/8)","1008.5","119.2","1.5"
"Helsinki Kaisaniemi","2024","4","6","11:00","-0.2","Pilvistä (8/8)","1009","123","1"
"Helsinki Kaisaniemi","2024","4","6","12:00","0.2","Pilvistä (8/8)","1009.3","277.6","1.4"
"Helsinki Kaisaniemi","2024","4","6","13:00","0.9","Pilvistä (8/8)","1009.6","324.2","1.9"
"Helsinki Kaisaniemi","2024","4","6","14:00","1.6","Pilvistä (8/8)","1009.9","-","-"
"Helsinki Kaisaniemi","2024","4","6","15:00","2.6","Melko pilvistä (7/8)","1010.2","342.4","3"
"Helsinki Kaisaniemi","2024","4","6","16:00","2.7","Pilvistä (8/8)","1011.3","352.6","3.8"
"Helsinki Kaisaniemi","2024","4","6","17:00","3.3","Puolipilvistä (4/8)","1011.8","314.2","2.9"
"Helsinki Kaisaniemi","2024","4","6","18:00","3.4","Selkeää (1/8)","1012.5","277.3","3.3"
"Helsinki Kaisaniemi","2024","4","6","19:00","3.1","Selkeää (0/8)","1012.8","347.6","3.1"
"Helsinki Kaisaniemi","2024","4","6","20:00","2.2","Selkeää (0/8)","1013.5","146.8","2.7"
"Helsinki Kaisaniemi","2024","4","6","21:00","0.6","Selkeää (0/8)","1014.5","345.2","2.2"
"Helsinki Kaisaniemi","2024","4","6","22:00","-0.3","Selkeää (0/8)","1015.1","180.1","1.9"
"Helsinki Kaisaniemi","2024","4","6","23:00","-0.9","Selkeää (0/8)","1015.6","8.4","1.9"
"Helsinki Kaisaniemi","2024","4","7","00:00","-1.5","Selkeää (0/8)","1015.7","47.6","1.4"
"Helsinki Kaisaniemi","2024","4","7","01:00","-2.3","Selkeää (0/8)","1016.1","182.9","0.7"
"Helsinki Kaisaniemi","2024","4","7","02:00","-2.9","Melko pilvistä (7/8)","1016.3","314.3","0.5"
"Helsinki Kaisaniemi","2024","4","7","03:00","-2.3","Melko pilvistä (7/8)","1016.4","170.9","0.6"
"Helsinki Kaisaniemi","2024","4","7","04:00","-2.3","Selkeää (1/8)","1016.6","133","1.3"
"Helsinki Kaisaniemi","2024","4","7","05:00","-1.4","Puolipilvistä (4/8)","1016.7","130","1.7"
"Helsinki Kaisaniemi","2024","4","7","06:00","-0.8","Melko pilvistä (7/8)","1016.7","139.4","2.1"
"Helsinki Kaisaniemi","2024","4","7","07:00","0.1","Pilvistä (8/8)","1016.6","151.3","2.4"
"Helsinki Kaisaniemi","2024","4","7","08:00","1.1","Melko pilvistä (6/8)","1016.1","163.2","3.5"
"Helsinki Kaisaniemi","2024","4","7","09:00","1.7","Selkeää (1/8)","1015.3","160.9","4.3"
"Helsinki Kaisaniemi","2024","4","7","10:00","1.6","Pilvistä (8/8)","1014.8","164.2","4.5"
"Helsinki Kaisaniemi","2024","4","7","11:00","1.7","Pilvistä (8/8)","1013.7","165.3","5.1"
"Helsinki Kaisaniemi","2024","4","7","12:00","2.2","Melko pilvistä (7/8)","1013.2","170.4","4.1"
"Helsinki Kaisaniemi","2024","4","7","13:00","2.6","Melko pilvistä (7/8)","1012.3","178.5","4.2"
"Helsinki Kaisaniemi","2024","4","7","14:00","3.2","Pilvistä (8/8)","1011.3","183.4","3.3"
"Helsinki Kaisaniemi","2024","4","7","15:00","4.1","Pilvistä (8/8)","1010","176.8","3.8"
"Helsinki Kaisaniemi","2024","4","7","16:00","5","Melko pilvistä (7/8)","1008.8","172.9","3.6"
"Helsinki Kaisaniemi","2024","4","7","17:00","5.7","Pilvistä (8/8)","1007.7","198.2","3.7"
"Helsinki Kaisaniemi","2024","4","7","18:00","5.5","Pilvistä (8/8)","1006.8","230.3","4.4"
"Helsinki Kaisaniemi","2024","4","7","19:00","6.8","Melko pilvistä (7/8)","1006.2","231.1","5.5"
"Helsinki Kaisaniemi","2024","4","7","20:00","6.4","Melko pilvistä (7/8)","1006","237.9","6.1"
"Helsinki Kaisaniemi","2024","4","7","21:00","6.5","Melko pilvistä (7/8)","1006.7","258.4","5.4"
"Helsinki Kaisaniemi","2024","4","7","22:00","6","Melko pilvistä (7/8)","1006.8","259.6","4.6"
"Helsinki Kaisaniemi","2024","4","7","23:00","5.3","Melko pilvistä (7/8)","1006.9","264.5","4"
"Helsinki Kaisaniemi","2024","4","8","00:00","5.2","Selkeää (0/8)","1007","263.5","4"
"Helsinki Kaisaniemi","2024","4","8","01:00","4.9","Selkeää (0/8)","1007.2","251.2","3"
"Helsinki Kaisaniemi","2024","4","8","02:00","4.7","Selkeää (0/8)","1007.4","244.7","2.6"
"Helsinki Kaisaniemi","2024","4","8","03:00","4.5","Selkeää (0/8)","1007.2","236.2","2.5"
"Helsinki Kaisaniemi","2024","4","8","04:00","5.1","Selkeää (0/8)","1007.3","239.7","2.9"
"Helsinki Kaisaniemi","2024","4","8","05:00","4.3","Selkeää (0/8)","1007.7","235.4","2.2"
"Helsinki Kaisaniemi","2024","4","8","06:00","3.4","Selkeää (0/8)","1008.1","221.9","2"
"Helsinki Kaisaniemi","2024","4","8","07:00","3.4","Selkeää (0/8)","1008.4","220.4","1.9"
"Helsinki Kaisaniemi","2024","4","8","08:00","4.2","Selkeää (0/8)","1009","233.6","1.8"
"Helsinki Kaisaniemi","2024","4","8","09:00","5.2","Selkeää (0/8)","1009.4","240.1","2.3"
"Helsinki Kaisaniemi","2024","4","8","10:00","5.5","Selkeää (0/8)","1010","219.5","2.2"
"Helsinki Kaisaniemi","2024","4","8","11:00","6.5","Selkeää (0/8)","1010.6","214.9","2.8"
"Helsinki Kaisaniemi","2024","4","8","12:00","7.2","Selkeää (0/8)","1011","217.3","4"
"Helsinki Kaisaniemi","2024","4","8","13:00","6.6","Selkeää (0/8)","1011.3","218.5","5.8"
"Helsinki Kaisaniemi","2024","4","8","14:00","6.1","Selkeää (0/8)","1011.5","220.2","5.3"
"Helsinki Kaisaniemi","2024","4","8","15:00","7","Selkeää (0/8)","1011.7","215.9","5.5"
"Helsinki Kaisaniemi","2024","4","8","16:00","7.1","Melko pilvistä (6/8)","1011.6","217.2","6.3"
"Helsinki Kaisaniemi","2024","4","8","17:00","7.5","Melko selkeää (3/8)","1011.5","220.8","5"
"Helsinki Kaisaniemi","2024","4","8","18:00","7.3","Selkeää (1/8)","1011.3","217.6","4.9"
"Helsinki Kaisaniemi","2024","4","8","19:00","7","Melko selkeää (3/8)","1011.2","220.6","4.1"
"Helsinki Kaisaniemi","2024","4","8","20:00","6.6","Melko pilvistä (7/8)","1011.4","230.9","4"
"Helsinki Kaisaniemi","2024","4","8","21:00","5.8","Pilvistä (8/8)","1011.9","223.8","3.9"
"Helsinki Kaisaniemi","2024","4","8","22:00","5.5","Melko pilvistä (7/8)","1012.2","220.7","4.2"
"Helsinki Kaisaniemi","2024","4","8","23:00","6.8","Melko pilvistä (7/8)","1012.1","248.5","3.5"
"Helsinki Kaisaniemi","2024","4","9","00:00","7.2","Pilvistä (8/8)","1012.1","268.2","3.4"
"Helsinki Kaisaniemi","2024","4","9","01:00","6.7","Pilvistä (8/8)","1012.4","264.5","3"
"Helsinki Kaisaniemi","2024","4","9","02:00","7","Pilvistä (8/8)","1012.3","246.9","3.3"
"Helsinki Kaisaniemi","2024","4","9","03:00","6.3","Pilvistä (8/8)","1012","244.4","2.5"
"Helsinki Kaisaniemi","2024","4","9","04:00","6","Pilvisyyttä ei voida määrittää (9/8)","1012","257","2.1"
"Helsinki Kaisaniemi","2024","4","9","05:00","5.7","Pilvisyyttä ei voida määrittää (9/8)","1012","270.5","1.8"
"Helsinki Kaisaniemi","2024","4","9","06:00","5.2","Pilvisyyttä ei voida määrittää (9/8)","1012.1","281.9","1.2"
"Helsinki Kaisaniemi","2024","4","9","07:00","4.7","Pilvisyyttä ei voida määrittää (9/8)","1012.1","273.8","0.6"
"Helsinki Kaisaniemi","2024","4","9","08:00","4.4","Melko pilvistä (7/8)","1012.3","241","0.6"
"Helsinki Kaisaniemi","2024","4","9","09:00","4.7","Selkeää (1/8)","1012.2","108.9","1.3"
"Helsinki Kaisaniemi","2024","4","9","10:00","5.8","Selkeää (0/8)","1012.3","110.2","1.4"
"Helsinki Kaisaniemi","2024","4","9","11:00","8","Melko selkeää (3/8)","1012.5","108.9","1.5"
"Helsinki Kaisaniemi","2024","4","9","12:00","9.6","Selkeää (1/8)","1012.8","96.1","1.5"
"Helsinki Kaisaniemi","2024","4","9","13:00","11.3","Selkeää (1/8)","1012.8","104.6","2.1"
"Helsinki Kaisaniemi","2024","4","9","14:00","11.6","Melko pilvistä (7/8)","1012.9","97.4","2"
"Helsinki Kaisaniemi","2024","4","9","15:00","10.9","Melko pilvistä (7/8)","1012.9","113.4","2.5"
"Helsinki Kaisaniemi","2024","4","9","16:00","11.3","Pilvistä (8/8)","1013.1","110.3","1.8"
"Helsinki Kaisaniemi","2024","4","9","17:00","11.1","Pilvistä (8/8)","1013.4","114","2.5"
"Helsinki Kaisaniemi","2024","4","9","18:00","11","Selkeää (0/8)","1013.4","110.3","2.6"
"Helsinki Kaisaniemi","2024","4","9","19:00","9.5","Selkeää (0/8)","1013.6","118.1","3.1"
"Helsinki Kaisaniemi","2024","4","9","20:00","7.7","Puolipilvistä (4/8)","1013.9","105.1","2.5"
"Helsinki Kaisaniemi","2024","4","9","21:00","6.4","Selkeää (0/8)","1014.3","105.2","2.3"
"Helsinki Kaisaniemi","2024","4","9","22:00","6.2","Melko pilvistä (7/8)","1014.5","96.2","2.5"
"Helsinki Kaisaniemi","2024","4","9","23:00","6","Selkeää (0/8)","1014.6","100.5","2.2"
"Helsinki Kaisaniemi","2024","4","10","00:00","5.8","Melko pilvistä (6/8)","1014.5","101.6","3.1"
"Helsinki Kaisaniemi","2024","4","10","01:00","5.7","Selkeää (0/8)","1014.3","102","3.5"
"Helsinki Kaisaniemi","2024","4","10","02:00","5.6","Selkeää (0/8)","1014.2","107.2","3.4"
"Helsinki Kaisaniemi","2024","4","10","03:00","5.8","Selkeää (0/8)","1013.6","106.1","4.2"
"Helsinki Kaisaniemi","2024","4","10","04:00","5.8","Puolipilvistä (4/8)","1013.1","103.8","4.3"
"Helsinki Kaisaniemi","2024","4","10","05:00","5.4","Melko pilvistä (7/8)","1013","94.3","3.1"
"Helsinki Kaisaniemi","2024","4","10","06:00","5.3","Melko pilvistä (7/8)","1012.5","99.5","3.1"
"Helsinki Kaisaniemi","2024","4","10","07:00","5.2","Pilvistä (8/8)","1011.9","103.4","3.8"
"Helsinki Kaisaniemi","2024","4","10","08:00","5.4","Pilvistä (8/8)","1011.2","101.2","3.3"
"Helsinki Kaisaniemi","2024","4","10","09:00","5.6","Melko pilvistä (6/8)","1010.5","100","3.3"
"Helsinki Kaisaniemi","2024","4","10","10:00","6.2","Selkeää (0/8)","1009.4","103.1","3.3"
"Helsinki Kaisaniemi","2024","4","10","11:00","8","Selkeää (0/8)","1008.7","104.7","4"
"Helsinki Kaisaniemi","2024","4","10","12:00","10.6","Selkeää (1/8)","1008.4","120.3","3.1"
"Helsinki Kaisaniemi","2024","4","10","13:00","10.7","Selkeää (0/8)","1008.5","206.5","5"
"Helsinki Kaisaniemi","2024","4","10","14:00","7.2","Selkeää (1/8)","1009","218.9","6.6"
"Helsinki Kaisaniemi","2024","4","10","15:00","6.5","Puolipilvistä (5/8)","1009.6","220.3","5.4"
"Helsinki Kaisaniemi","2024","4","10","16:00","5.9","Melko pilvistä (6/8)","1010.1","219.7","6.7"
"Helsinki Kaisaniemi","2024","4","10","17:00","6.6","Melko selkeää (2/8)","1010.3","219.4","5.4"
"Helsinki Kaisaniemi","2024","4","10","18:00","7.4","Melko pilvistä (7/8)","1010.8","231.4","5.2"
"Helsinki Kaisaniemi","2024","4","10","19:00","7.8","Puolipilvistä (4/8)","1010.5","242.8","6.4"
"Helsinki Kaisaniemi","2024","4","10","20:00","7.2","Pilvistä (8/8)","1010.3","232.9","5.4"
"Helsinki Kaisaniemi","2024","4","10","21:00","6.5","Pilvistä (8/8)","1010.3","234.9","6.2"
"Helsinki Kaisaniemi","2024","4","10","22:00","5.6","Melko pilvistä (7/8)","1010.1","228","5.8"
"Helsinki Kaisaniemi","2024","4","10","23:00","6.2","Melko pilvistä (7/8)","1009.8","238.2","8"
"Helsinki Kaisaniemi","2024","4","11","00:00","6.1","Melko selkeää (3/8)","1009.9","246.3","7.1"
"Helsinki Kaisaniemi","2024","4","11","01:00","5.6","Selkeää (1/8)","1010.3","245.4","6.5"
"Helsinki Kaisaniemi","2024","4","11","02:00","5.1","Selkeää (0/8)","1010.4","239.6","6.5"
"Helsinki Kaisaniemi","2024","4","11","03:00","5.9","Selkeää (1/8)","1010.8","255.5","7.3"
"Helsinki Kaisaniemi","2024","4","11","04:00","6.1","Selkeää (0/8)","1011.8","258.6","4.9"
"Helsinki Kaisaniemi","2024","4","11","05:00","5.7","Selkeää (0/8)","1012.6","248","4.7"
