"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Näkyvyys keskiarvo [m]","Ilman lämpötila keskiarvo [°C]","Tuulen suunta keskiarvo [°]","Keskituulen nopeus keskiarvo [m/s]","Pilvisyys [1/8]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]"
"Helsinki Kaisaniemi","2023","4","11","16:00","37618","9.4","100.1","5.6","Selkeää (0/8)","1016.5"
"Helsinki Kaisaniemi","2023","4","11","17:00","45163","9.2","94.6","5.1","Selkeää (1/8)","1016.1"
"Helsinki Kaisaniemi","2023","4","11","18:00","46660","9.8","98.5","4.8","Selkeää (0/8)","1015.8"
"Helsinki Kaisaniemi","2023","4","11","19:00","49815","9","103.7","4.6","Selkeää (0/8)","1015.7"
"Helsinki Kaisaniemi","2023","4","11","20:00","49398","8","100.1","4.4","Selkeää (0/8)","1015.8"
"Helsinki Kaisaniemi","2023","4","11","21:00","50000","6.9","86.1","3.7","Selkeää (0/8)","1015.6"
"Helsinki Kaisaniemi","2023","4","11","22:00","49822","6.4","90.7","3.2","Pilvistä (8/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","11","23:00","49990","6.2","95","2.6","Puolipilvistä (5/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","00:00","50000","6","99.8","2","Melko pilvistä (7/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","01:00","50000","5.5","102.3","1.6","Selkeää (1/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","02:00","49828","4.8","91.2","2.6","Selkeää (0/8)","1015.6"
"Helsinki Kaisaniemi","2023","4","12","03:00","48870","4.3","100.7","1.8","Selkeää (0/8)","1015.4"
"Helsinki Kaisaniemi","2023","4","12","04:00","49674","4.2","100.8","1.8","Selkeää (0/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","05:00","49217","3.9","96.8","2.1","Selkeää (0/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","06:00","48732","3.9","99.6","2","Melko pilvistä (6/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","07:00","46759","4.2","91.9","2.7","Pilvistä (8/8)","1015.4"
"Helsinki Kaisaniemi","2023","4","12","08:00","43049","4.8","100","1.9","Selkeää (1/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","09:00","37324","6.8","96.8","2.1","Selkeää (0/8)","1015.6"
"Helsinki Kaisaniemi","2023","4","12","10:00","42270","8.3","107.9","2.6","Selkeää (0/8)","1015.9"
"Helsinki Kaisaniemi","2023","4","12","11:00","39568","9.4","96.3","1.9","Selkeää (0/8)","1016.3"
"Helsinki Kaisaniemi","2023","4","12","12:00","39108","11","105.9","2.7","Melko pilvistä (7/8)","1016.1"
"Helsinki Kaisaniemi","2023","4","12","13:00","35606","11.2","107.8","4.6","Selkeää (0/8)","1016"
"Helsinki Kaisaniemi","2023","4","12","14:00","33800","12.1","101.3","4.4","Selkeää (1/8)","1016.2"
"Helsinki Kaisaniemi","2023","4","12","15:00","33024","11.9","105.1","4.8","Selkeää (0/8)","1016"
"Helsinki Kaisaniemi","2023","4","12","16:00","39196","12.7","109.6","4.7","Selkeää (0/8)","1015.6"
"Helsinki Kaisaniemi","2023","4","12","17:00","37267","13.1","110.8","5","Selkeää (0/8)","1015.3"
"Helsinki Kaisaniemi","2023","4","12","18:00","43670","12","106.5","4.3","Selkeää (0/8)","1015.4"
"Helsinki Kaisaniemi","2023","4","12","19:00","41882","10.5","108.8","5.2","Selkeää (0/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","20:00","42103","9.4","109.4","3.9","Melko selkeää (3/8)","1015.5"
"Helsinki Kaisaniemi","2023","4","12","21:00","35988","8.1","134.1","2.8","Melko pilvistä (7/8)","1015.8"
"Helsinki Kaisaniemi","2023","4","12","22:00","32168","6.9","90.4","2.4","Melko pilvistä (7/8)","1015.8"
"Helsinki Kaisaniemi","2023","4","12","23:00","46722","8.2","91.9","3.6","Melko pilvistä (7/8)","1016"
"Helsinki Kaisaniemi","2023","4","13","00:00","49672","8.8","100.9","4.9","Melko selkeää (3/8)","1016.5"
"Helsinki Kaisaniemi","2023","4","13","01:00","49934","7.9","94","5.9","Melko selkeää (3/8)","1017"
"Helsinki Kaisaniemi","2023","4","13","02:00","49693","7.8","87.6","5.9","Pilvistä (8/8)","1017.1"
"Helsinki Kaisaniemi","2023","4","13","03:00","49159","7.7","85.1","7.5","Melko pilvistä (7/8)","1016.8"
"Helsinki Kaisaniemi","2023","4","13","04:00","49950","7.9","86.7","7.3","Melko pilvistä (7/8)","1016.8"
"Helsinki Kaisaniemi","2023","4","13","05:00","47318","7.7","86.7","7.9","Pilvistä (8/8)","1016.9"
"Helsinki Kaisaniemi","2023","4","13","06:00","47143","6.8","83.4","8.6","Melko pilvistä (7/8)","1017.2"
"Helsinki Kaisaniemi","2023","4","13","07:00","49066","6.4","81.9","8.3","Melko pilvistä (6/8)","1017.5"
"Helsinki Kaisaniemi","2023","4","13","08:00","41831","6.2","84.2","8.4","Puolipilvistä (5/8)","1017.9"
"Helsinki Kaisaniemi","2023","4","13","09:00","40453","5.9","84.3","9.2","Pilvistä (8/8)","1018.4"
"Helsinki Kaisaniemi","2023","4","13","10:00","37244","5.8","86.3","9.3","Melko selkeää (2/8)","1019"
"Helsinki Kaisaniemi","2023","4","13","11:00","38162","6.2","86.8","9.4","Melko selkeää (2/8)","1019.5"
"Helsinki Kaisaniemi","2023","4","13","12:00","48095","6.5","85.8","8.8","Selkeää (0/8)","1019.8"
"Helsinki Kaisaniemi","2023","4","13","13:00","44380","7.3","86","8","Selkeää (0/8)","1020"
"Helsinki Kaisaniemi","2023","4","13","14:00","48593","8","93.6","7","Selkeää (1/8)","1020.1"
"Helsinki Kaisaniemi","2023","4","13","15:00","44390","8.3","92.8","6.8","Selkeää (1/8)","1020.3"
"Helsinki Kaisaniemi","2023","4","13","16:00","47474","8.1","93.4","7","Selkeää (1/8)","1020.4"
"Helsinki Kaisaniemi","2023","4","13","17:00","47444","8","95.2","7.2","Selkeää (0/8)","1020.5"
"Helsinki Kaisaniemi","2023","4","13","18:00","49358","7.1","94.3","6.7","Melko selkeää (3/8)","1020.8"
"Helsinki Kaisaniemi","2023","4","13","19:00","50000","6.3","94.6","6.2","Selkeää (1/8)","1021.2"
"Helsinki Kaisaniemi","2023","4","13","20:00","47204","6.2","80.5","7.5","Melko pilvistä (6/8)","1021.5"
"Helsinki Kaisaniemi","2023","4","13","21:00","48694","5.7","74","7.1","Puolipilvistä (5/8)","1022.1"
"Helsinki Kaisaniemi","2023","4","13","22:00","50000","5","74","7.1","Puolipilvistä (4/8)","1022.8"
"Helsinki Kaisaniemi","2023","4","13","23:00","50000","4.4","71","7.2","Pilvistä (8/8)","1023.3"
"Helsinki Kaisaniemi","2023","4","14","00:00","48486","4.2","71","7.6","Pilvistä (8/8)","1023.3"
"Helsinki Kaisaniemi","2023","4","14","01:00","50000","4","73.5","6.8","Melko pilvistä (6/8)","1023.6"
"Helsinki Kaisaniemi","2023","4","14","02:00","50000","4","78.7","7.9","Puolipilvistä (5/8)","1023.8"
"Helsinki Kaisaniemi","2023","4","14","03:00","50000","3.9","82","8.3","Melko pilvistä (6/8)","1024"
"Helsinki Kaisaniemi","2023","4","14","04:00","50000","3.6","80.5","7.2","Melko pilvistä (6/8)","1024.1"
"Helsinki Kaisaniemi","2023","4","14","05:00","50000","3.1","80.7","8.2","Melko pilvistä (7/8)","1024.3"
"Helsinki Kaisaniemi","2023","4","14","06:00","50000","2.7","83.7","8.4","Melko selkeää (3/8)","1024.5"
"Helsinki Kaisaniemi","2023","4","14","07:00","50000","2.5","84.4","8","Melko selkeää (3/8)","1025"
"Helsinki Kaisaniemi","2023","4","14","08:00","47644","2.5","82.6","8.4","Melko selkeää (2/8)","1025.4"
"Helsinki Kaisaniemi","2023","4","14","09:00","44235","2.9","84.8","9.1","Selkeää (1/8)","1025.4"
"Helsinki Kaisaniemi","2023","4","14","10:00","42344","3.3","84","9.1","Selkeää (0/8)","1025.8"
"Helsinki Kaisaniemi","2023","4","14","11:00","41539","3.7","84.6","9","Melko selkeää (2/8)","1026.2"
"Helsinki Kaisaniemi","2023","4","14","12:00","41162","4.1","88","10.2","Selkeää (0/8)","1026.4"
"Helsinki Kaisaniemi","2023","4","14","13:00","44786","4.5","91.6","9.7","Melko selkeää (2/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","14","14:00","37126","5.4","88.3","8.5","Selkeää (0/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","14","15:00","39246","6.2","89.1","8.4","Selkeää (0/8)","1026.4"
"Helsinki Kaisaniemi","2023","4","14","16:00","42518","6.2","98.2","7.6","Selkeää (0/8)","1026.2"
"Helsinki Kaisaniemi","2023","4","14","17:00","48230","6","92.8","8.6","Selkeää (0/8)","1026.2"
"Helsinki Kaisaniemi","2023","4","14","18:00","49021","5.5","89","7.7","Selkeää (0/8)","1026.3"
"Helsinki Kaisaniemi","2023","4","14","19:00","50000","5.2","84.7","8.9","Selkeää (0/8)","1026.3"
"Helsinki Kaisaniemi","2023","4","14","20:00","50000","4.8","84","8.9","Selkeää (0/8)","1026.4"
"Helsinki Kaisaniemi","2023","4","14","21:00","50000","4.4","82.2","8.1","Selkeää (0/8)","1026.5"
"Helsinki Kaisaniemi","2023","4","14","22:00","50000","4.1","80.3","6.1","Selkeää (0/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","14","23:00","50000","3.8","80.6","5.9","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","15","00:00","50000","3.5","78.1","5.6","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","15","01:00","50000","3.5","87.5","6.3","Selkeää (0/8)","1026.9"
"Helsinki Kaisaniemi","2023","4","15","02:00","50000","3.4","90.3","5.9","Melko pilvistä (7/8)","1027"
"Helsinki Kaisaniemi","2023","4","15","03:00","50000","3.1","88.6","5.7","Melko pilvistä (7/8)","1026.9"
"Helsinki Kaisaniemi","2023","4","15","04:00","50000","3","87.1","5.7","Selkeää (0/8)","1026.9"
"Helsinki Kaisaniemi","2023","4","15","05:00","50000","2.5","83.9","5.1","Selkeää (0/8)","1027.1"
"Helsinki Kaisaniemi","2023","4","15","06:00","50000","2.1","77.2","4.6","Selkeää (0/8)","1027.2"
"Helsinki Kaisaniemi","2023","4","15","07:00","50000","1.9","76","4.7","Selkeää (0/8)","1027.5"
"Helsinki Kaisaniemi","2023","4","15","08:00","49967","2.6","78.4","4.5","Selkeää (0/8)","1027.7"
"Helsinki Kaisaniemi","2023","4","15","09:00","49770","3.8","84.3","5.8","Selkeää (0/8)","1027.9"
"Helsinki Kaisaniemi","2023","4","15","10:00","48474","4.3","89","6.5","Selkeää (0/8)","1028"
"Helsinki Kaisaniemi","2023","4","15","11:00","49124","4.6","91.9","6.1","Selkeää (0/8)","1028.2"
"Helsinki Kaisaniemi","2023","4","15","12:00","44460","5.3","89.2","6.8","Selkeää (0/8)","1028.4"
"Helsinki Kaisaniemi","2023","4","15","13:00","45513","5.2","97.8","6.5","Selkeää (0/8)","1028.5"
"Helsinki Kaisaniemi","2023","4","15","14:00","43454","5.7","89.4","6.9","Selkeää (0/8)","1028.5"
"Helsinki Kaisaniemi","2023","4","15","15:00","39369","6.3","93","7.2","Selkeää (0/8)","1028.4"
"Helsinki Kaisaniemi","2023","4","15","16:00","44043","5.9","96.2","6.5","Selkeää (0/8)","1028.4"
"Helsinki Kaisaniemi","2023","4","15","17:00","43564","6.4","88.2","8.2","Selkeää (0/8)","1028.2"
"Helsinki Kaisaniemi","2023","4","15","18:00","44932","5.9","86.8","7.7","Selkeää (0/8)","1028.1"
"Helsinki Kaisaniemi","2023","4","15","19:00","49970","5.8","82.7","6.4","Selkeää (0/8)","1028"
"Helsinki Kaisaniemi","2023","4","15","20:00","50000","5.5","84.7","6.8","Selkeää (0/8)","1027.9"
"Helsinki Kaisaniemi","2023","4","15","21:00","49434","4.8","83.9","5.8","Selkeää (0/8)","1028.1"
"Helsinki Kaisaniemi","2023","4","15","22:00","50000","4.3","82.6","4.8","Selkeää (0/8)","1028.2"
"Helsinki Kaisaniemi","2023","4","15","23:00","49534","3.9","81.7","4.9","Selkeää (0/8)","1027.9"
"Helsinki Kaisaniemi","2023","4","16","00:00","50000","3.8","84.3","4.3","Selkeää (0/8)","1027.8"
"Helsinki Kaisaniemi","2023","4","16","01:00","50000","3.3","80.9","4","Selkeää (0/8)","1027.7"
"Helsinki Kaisaniemi","2023","4","16","02:00","50000","2.5","70.4","2.9","Selkeää (0/8)","1027.8"
"Helsinki Kaisaniemi","2023","4","16","03:00","50000","1.8","64.9","3.1","Selkeää (0/8)","1027.8"
"Helsinki Kaisaniemi","2023","4","16","04:00","49984","1.5","68.2","3.4","Selkeää (0/8)","1027.6"
"Helsinki Kaisaniemi","2023","4","16","05:00","49684","1.3","71.3","3.6","Selkeää (0/8)","1027.4"
"Helsinki Kaisaniemi","2023","4","16","06:00","49968","0.8","73.5","3","Selkeää (0/8)","1027.2"
"Helsinki Kaisaniemi","2023","4","16","07:00","49732","0.7","73.3","3.3","Selkeää (0/8)","1027.2"
"Helsinki Kaisaniemi","2023","4","16","08:00","48343","1.7","75","3.3","Selkeää (0/8)","1027.1"
"Helsinki Kaisaniemi","2023","4","16","09:00","47990","4","72.1","3.4","Selkeää (0/8)","1026.9"
"Helsinki Kaisaniemi","2023","4","16","10:00","46672","5.7","87.4","3.1","Selkeää (0/8)","1026.8"
"Helsinki Kaisaniemi","2023","4","16","11:00","42885","6.7","110.5","4.2","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","16","12:00","44005","7.6","106.4","4.2","Selkeää (0/8)","1026.8"
"Helsinki Kaisaniemi","2023","4","16","13:00","42703","8.1","110.1","4.3","Selkeää (0/8)","1026.8"
"Helsinki Kaisaniemi","2023","4","16","14:00","39959","9","109.6","5.6","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","16","15:00","42547","9.5","108.7","6","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","16","16:00","42485","9.5","103.7","5.1","Selkeää (0/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","16","17:00","46882","8.5","109.6","3.8","Selkeää (0/8)","1026.5"
"Helsinki Kaisaniemi","2023","4","16","18:00","45894","8.2","108.7","4.1","Selkeää (0/8)","1026.3"
"Helsinki Kaisaniemi","2023","4","16","19:00","49295","7.9","99.8","3.9","Selkeää (0/8)","1026.4"
"Helsinki Kaisaniemi","2023","4","16","20:00","49266","7","106.3","3.6","Selkeää (0/8)","1026.4"
"Helsinki Kaisaniemi","2023","4","16","21:00","49528","5.8","100.3","2.7","Selkeää (0/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","16","22:00","49374","5.4","92.7","2.6","Selkeää (0/8)","1026.8"
"Helsinki Kaisaniemi","2023","4","16","23:00","48927","3.9","90.9","2.2","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","17","00:00","44118","3.2","113","1","Selkeää (0/8)","1026.7"
"Helsinki Kaisaniemi","2023","4","17","01:00","38927","2.2","97.8","0.7","Selkeää (0/8)","1026.8"
"Helsinki Kaisaniemi","2023","4","17","02:00","35225","1.3","23.7","0.8","Selkeää (0/8)","1027.1"
"Helsinki Kaisaniemi","2023","4","17","03:00","39743","1.6","301.1","1","Selkeää (0/8)","1027.3"
"Helsinki Kaisaniemi","2023","4","17","04:00","45381","1.3","323.6","1","Selkeää (0/8)","1027.3"
"Helsinki Kaisaniemi","2023","4","17","05:00","46730","0.9","321","1","Selkeää (0/8)","1027.5"
"Helsinki Kaisaniemi","2023","4","17","06:00","39604","0.9","221.3","0.5","Selkeää (0/8)","1027.6"
"Helsinki Kaisaniemi","2023","4","17","07:00","34246","0.3","212.4","0.6","Selkeää (0/8)","1028"
"Helsinki Kaisaniemi","2023","4","17","08:00","26989","2.2","113.3","1","Selkeää (0/8)","1028.3"
"Helsinki Kaisaniemi","2023","4","17","09:00","20546","7.1","274.1","1","Selkeää (0/8)","1028.5"
"Helsinki Kaisaniemi","2023","4","17","10:00","24751","9.6","165.3","1.4","Selkeää (0/8)","1028.9"
"Helsinki Kaisaniemi","2023","4","17","11:00","27918","11","81.1","1.8","Selkeää (0/8)","1029.1"
"Helsinki Kaisaniemi","2023","4","17","12:00","34005","12.2","124.7","1.7","Selkeää (0/8)","1029.3"
"Helsinki Kaisaniemi","2023","4","17","13:00","29226","11.2","181.4","3.3","Selkeää (0/8)","1029.5"
"Helsinki Kaisaniemi","2023","4","17","14:00","33450","10.7","183.1","3.3","Selkeää (0/8)","1029.6"
"Helsinki Kaisaniemi","2023","4","17","15:00","36248","10.7","186.9","3.3","Selkeää (0/8)","1029.8"
"Helsinki Kaisaniemi","2023","4","17","16:00","33839","10","216.4","3","Selkeää (0/8)","1030"
"Helsinki Kaisaniemi","2023","4","17","17:00","35532","10.3","227","3.2","Selkeää (0/8)","1030"
"Helsinki Kaisaniemi","2023","4","17","18:00","30293","10.3","219.6","4.1","Selkeää (0/8)","1029.9"
"Helsinki Kaisaniemi","2023","4","17","19:00","37417","9.8","218.1","3.7","Selkeää (0/8)","1029.9"
"Helsinki Kaisaniemi","2023","4","17","20:00","40080","10.2","237.5","3.1","Selkeää (0/8)","1030"
"Helsinki Kaisaniemi","2023","4","17","21:00","40951","9","272.9","1.7","Selkeää (0/8)","1030.4"
"Helsinki Kaisaniemi","2023","4","17","22:00","37420","6.8","308.7","1.2","Selkeää (0/8)","1030.7"
"Helsinki Kaisaniemi","2023","4","17","23:00","32127","4.9","31.2","0.5","Melko selkeää (3/8)","1030.7"
"Helsinki Kaisaniemi","2023","4","18","00:00","28615","4.5","205.9","1.5","Melko pilvistä (7/8)","1030.9"
"Helsinki Kaisaniemi","2023","4","18","01:00","44067","6.8","5.8","2.7","Melko pilvistä (7/8)","1031.3"
"Helsinki Kaisaniemi","2023","4","18","02:00","50000","6.8","8.4","3.1","Melko pilvistä (7/8)","1031.5"
"Helsinki Kaisaniemi","2023","4","18","03:00","50000","5.8","6.2","3","Melko pilvistä (7/8)","1031.4"
"Helsinki Kaisaniemi","2023","4","18","04:00","50000","5.6","5.5","3.7","Melko pilvistä (7/8)","1031.5"
"Helsinki Kaisaniemi","2023","4","18","05:00","50000","4.6","5.1","3.7","Selkeää (1/8)","1031.9"
"Helsinki Kaisaniemi","2023","4","18","06:00","50000","4.4","11.3","3.7","Melko selkeää (2/8)","1031.9"
"Helsinki Kaisaniemi","2023","4","18","07:00","48287","3.8","5.6","3.8","Selkeää (0/8)","1032"
"Helsinki Kaisaniemi","2023","4","18","08:00","45561","4.3","5.4","3.7","Selkeää (0/8)","1032.2"
"Helsinki Kaisaniemi","2023","4","18","09:00","42515","4.9","320.6","3.7","Selkeää (1/8)","1032.4"
"Helsinki Kaisaniemi","2023","4","18","10:00","41024","6.5","39.7","4","Melko pilvistä (7/8)","1032.5"
"Helsinki Kaisaniemi","2023","4","18","11:00","38197","8.3","117","3.9","Melko pilvistä (6/8)","1032.3"
"Helsinki Kaisaniemi","2023","4","18","12:00","36128","10.2","26.1","5.2","Selkeää (1/8)","1032.3"
"Helsinki Kaisaniemi","2023","4","18","13:00","38536","12.1","30.6","5.2","Melko selkeää (2/8)","1032.3"
"Helsinki Kaisaniemi","2023","4","18","14:00","36625","13.1","30.8","5.6","Selkeää (0/8)","1032.2"
"Helsinki Kaisaniemi","2023","4","18","15:00","39407","13.6","-","-","Selkeää (0/8)","1032.2"
"Helsinki Kaisaniemi","2023","4","18","16:00","39272","13.5","49.5","5.7","Selkeää (0/8)","1032.1"
"Helsinki Kaisaniemi","2023","4","18","17:00","39403","13.5","38.5","5.4","Selkeää (0/8)","1032.2"
"Helsinki Kaisaniemi","2023","4","18","18:00","39753","13.1","45.8","5.8","Selkeää (0/8)","1032.4"
"Helsinki Kaisaniemi","2023","4","18","19:00","39090","12.6","59.7","5.8","Selkeää (0/8)","1032.8"
"Helsinki Kaisaniemi","2023","4","18","20:00","38967","11.8","62.7","5.5","Selkeää (0/8)","1033.1"
"Helsinki Kaisaniemi","2023","4","18","21:00","42652","10.8","51.6","4.2","Selkeää (0/8)","1033.7"
"Helsinki Kaisaniemi","2023","4","18","22:00","49726","9.6","38.3","3.2","Selkeää (0/8)","1034.2"
"Helsinki Kaisaniemi","2023","4","18","23:00","50000","8.5","28.3","3.2","Selkeää (0/8)","1034.4"
"Helsinki Kaisaniemi","2023","4","19","00:00","50000","7.6","-","-","Selkeää (0/8)","1034.8"
"Helsinki Kaisaniemi","2023","4","19","01:00","50000","6.9","25.4","3.5","Selkeää (0/8)","1035.1"
"Helsinki Kaisaniemi","2023","4","19","02:00","50000","6.3","23.5","3.6","Selkeää (0/8)","1035.3"
"Helsinki Kaisaniemi","2023","4","19","03:00","50000","5.8","28.5","4","Selkeää (0/8)","1035.2"
"Helsinki Kaisaniemi","2023","4","19","04:00","50000","5.1","28.6","3.7","Selkeää (0/8)","1035.3"
"Helsinki Kaisaniemi","2023","4","19","05:00","50000","4.6","28.5","4","Selkeää (0/8)","1035.6"
"Helsinki Kaisaniemi","2023","4","19","06:00","50000","4.1","28.5","3.7","Selkeää (0/8)","1035.5"
"Helsinki Kaisaniemi","2023","4","19","07:00","50000","3.9","27.3","3.7","Selkeää (0/8)","1035.6"
"Helsinki Kaisaniemi","2023","4","19","08:00","49466","4.6","29.5","4","Selkeää (0/8)","1035.6"
"Helsinki Kaisaniemi","2023","4","19","09:00","44744","6.7","34.1","4","Selkeää (0/8)","1035.8"
"Helsinki Kaisaniemi","2023","4","19","10:00","37383","8.6","41.9","3.9","Selkeää (0/8)","1035.9"
"Helsinki Kaisaniemi","2023","4","19","11:00","41660","9.9","58.4","5.1","Selkeää (0/8)","1035.9"
"Helsinki Kaisaniemi","2023","4","19","12:00","45523","11.1","56.3","5.3","Selkeää (0/8)","1035.5"
"Helsinki Kaisaniemi","2023","4","19","13:00","43267","12.1","56","5.5","Selkeää (0/8)","1035.2"
"Helsinki Kaisaniemi","2023","4","19","14:00","42484","12.9","62.6","4.6","Selkeää (0/8)","1034.6"
"Helsinki Kaisaniemi","2023","4","19","15:00","44683","12.6","102.6","3.8","Selkeää (0/8)","1034.3"
"Helsinki Kaisaniemi","2023","4","19","16:00","44408","11.8","144.9","3.1","Selkeää (0/8)","1033.9"
"Helsinki Kaisaniemi","2023","4","19","17:00","46990","12","155.3","2.3","Selkeää (0/8)","1033.6"
"Helsinki Kaisaniemi","2023","4","19","18:00","48577","12","169.5","1.7","Selkeää (0/8)","1033.3"
"Helsinki Kaisaniemi","2023","4","19","19:00","50000","11.3","140.8","2.4","Selkeää (0/8)","1033.1"
"Helsinki Kaisaniemi","2023","4","19","20:00","50000","10","131.6","1.5","Selkeää (0/8)","1033"
"Helsinki Kaisaniemi","2023","4","19","21:00","46308","9.1","134.8","0.9","Selkeää (0/8)","1033.2"
"Helsinki Kaisaniemi","2023","4","19","22:00","39990","7.4","280.3","1.1","Selkeää (0/8)","1033.4"
"Helsinki Kaisaniemi","2023","4","19","23:00","49113","6.5","308.8","2","Selkeää (0/8)","1033.6"
"Helsinki Kaisaniemi","2023","4","20","00:00","49342","6.7","27.6","2.8","Selkeää (0/8)","1033.6"
"Helsinki Kaisaniemi","2023","4","20","01:00","50000","6.9","26.8","2.9","Selkeää (1/8)","1033.7"
"Helsinki Kaisaniemi","2023","4","20","02:00","50000","5.9","186.6","1.2","Selkeää (1/8)","1033.4"
"Helsinki Kaisaniemi","2023","4","20","03:00","50000","5.3","52.9","0.8","Pilvistä (8/8)","1033.2"
"Helsinki Kaisaniemi","2023","4","20","04:00","50000","5","275.2","1.1","Melko selkeää (2/8)","1032.9"
"Helsinki Kaisaniemi","2023","4","20","05:00","50000","3.8","333.1","1.3","Melko selkeää (2/8)","1032.6"
"Helsinki Kaisaniemi","2023","4","20","06:00","50000","3.5","323.2","1.4","Melko pilvistä (7/8)","1032.2"
"Helsinki Kaisaniemi","2023","4","20","07:00","50000","4.6","318","1.3","Melko pilvistä (7/8)","1032"
"Helsinki Kaisaniemi","2023","4","20","08:00","39276","6.3","320.2","1.7","Puolipilvistä (5/8)","1032"
"Helsinki Kaisaniemi","2023","4","20","09:00","38619","9.1","302.6","1.9","Pilvistä (8/8)","1031.7"
"Helsinki Kaisaniemi","2023","4","20","10:00","39315","10","296.6","2.2","Pilvistä (8/8)","1031.4"
"Helsinki Kaisaniemi","2023","4","20","11:00","38282","11.7","277.2","3","Pilvistä (8/8)","1030.9"
"Helsinki Kaisaniemi","2023","4","20","12:00","48729","13.5","313.2","4.4","Melko pilvistä (7/8)","1030.4"
"Helsinki Kaisaniemi","2023","4","20","13:00","46260","15","304.8","4.4","Melko pilvistä (6/8)","1029.8"
"Helsinki Kaisaniemi","2023","4","20","14:00","43953","15.6","284.1","4.7","Puolipilvistä (4/8)","1029"
"Helsinki Kaisaniemi","2023","4","20","15:00","38052","14.5","230","4.1","Melko selkeää (3/8)","1028.3"
"Helsinki Kaisaniemi","2023","4","20","16:00","42298","12.6","219.3","4.5","Puolipilvistä (5/8)","1027.5"
"Helsinki Kaisaniemi","2023","4","20","17:00","41420","14","228.9","3.3","Selkeää (0/8)","1026.6"
"Helsinki Kaisaniemi","2023","4","20","18:00","45013","15.3","235","3","Selkeää (0/8)","1026"
"Helsinki Kaisaniemi","2023","4","20","19:00","48745","15.5","247.7","3.1","Puolipilvistä (4/8)","1025.5"
