"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Tuulen suunta keskiarvo [°]","Näkyvyys keskiarvo [m]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Pilvisyys [1/8]","Ilman lämpötila keskiarvo [°C]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2021","4","16","13:00","-","46571","1030.8","Selkeää (0/8)","11","-"
"Helsinki Kaisaniemi","2021","4","16","14:00","104.6","43462","1030.2","Selkeää (0/8)","12.1","5"
"Helsinki Kaisaniemi","2021","4","16","15:00","77.1","38083","1029.8","Selkeää (0/8)","13.1","6"
"Helsinki Kaisaniemi","2021","4","16","16:00","118.5","43411","1029.7","Selkeää (0/8)","11.1","4.7"
"Helsinki Kaisaniemi","2021","4","16","17:00","108.8","47177","1029.1","Selkeää (0/8)","11.7","4.8"
"Helsinki Kaisaniemi","2021","4","16","18:00","107.4","47381","1028.8","Selkeää (0/8)","11.8","4.3"
"Helsinki Kaisaniemi","2021","4","16","19:00","104.9","50000","1028.8","Selkeää (0/8)","11","4.6"
"Helsinki Kaisaniemi","2021","4","16","20:00","103","50000","1029","Selkeää (0/8)","9.9","3.4"
"Helsinki Kaisaniemi","2021","4","16","21:00","113.5","50000","1029.3","Selkeää (0/8)","8.7","3.3"
"Helsinki Kaisaniemi","2021","4","16","22:00","102.4","50000","1029.7","Selkeää (0/8)","7.8","2.8"
"Helsinki Kaisaniemi","2021","4","16","23:00","54.9","50000","1029.9","Selkeää (0/8)","8.6","3.8"
"Helsinki Kaisaniemi","2021","4","17","00:00","50.6","50000","1030.1","Selkeää (0/8)","8.4","4.2"
"Helsinki Kaisaniemi","2021","4","17","01:00","53.8","50000","1030.3","Selkeää (0/8)","8.2","4.6"
"Helsinki Kaisaniemi","2021","4","17","02:00","53.9","50000","1030.4","Selkeää (0/8)","7.5","4"
"Helsinki Kaisaniemi","2021","4","17","03:00","47.9","50000","1030.3","Selkeää (0/8)","6.8","4"
"Helsinki Kaisaniemi","2021","4","17","04:00","53.8","50000","1030.3","Selkeää (0/8)","6.5","3.8"
"Helsinki Kaisaniemi","2021","4","17","05:00","49.3","49988","1030.2","Selkeää (0/8)","5.7","3.8"
"Helsinki Kaisaniemi","2021","4","17","06:00","45.5","49554","1030.1","Selkeää (0/8)","4.9","4.4"
"Helsinki Kaisaniemi","2021","4","17","07:00","49.8","50000","1030.2","Selkeää (0/8)","4.6","4.2"
"Helsinki Kaisaniemi","2021","4","17","08:00","54.7","49922","1030.1","Selkeää (0/8)","5.4","3.9"
"Helsinki Kaisaniemi","2021","4","17","09:00","57.5","50000","1030.4","Selkeää (0/8)","7.5","4.6"
"Helsinki Kaisaniemi","2021","4","17","10:00","57.4","49253","1030.6","Selkeää (0/8)","9.9","4.6"
"Helsinki Kaisaniemi","2021","4","17","11:00","64.8","46504","1030.7","Selkeää (0/8)","12.2","5.5"
"Helsinki Kaisaniemi","2021","4","17","12:00","75.6","47089","1030.9","Selkeää (0/8)","13.4","7.1"
"Helsinki Kaisaniemi","2021","4","17","13:00","91.2","44999","1030.8","Selkeää (0/8)","13.8","6"
"Helsinki Kaisaniemi","2021","4","17","14:00","102.9","44797","1030.8","Selkeää (0/8)","14.2","7"
"Helsinki Kaisaniemi","2021","4","17","15:00","101.6","45505","1030.6","Selkeää (0/8)","14.5","6.2"
"Helsinki Kaisaniemi","2021","4","17","16:00","102.5","48130","1030.1","Selkeää (0/8)","14.5","5.9"
"Helsinki Kaisaniemi","2021","4","17","17:00","102.8","48770","1029.7","Selkeää (0/8)","14.2","5.8"
"Helsinki Kaisaniemi","2021","4","17","18:00","102.8","46168","1029.5","Selkeää (0/8)","13.4","5.9"
"Helsinki Kaisaniemi","2021","4","17","19:00","103.3","50000","1029.3","Selkeää (0/8)","12.9","4.7"
"Helsinki Kaisaniemi","2021","4","17","20:00","101.6","50000","1029.3","Selkeää (0/8)","12.2","4.2"
"Helsinki Kaisaniemi","2021","4","17","21:00","90.2","50000","1029.6","Selkeää (0/8)","11.3","3.7"
"Helsinki Kaisaniemi","2021","4","17","22:00","66.3","47940","1029.9","Selkeää (0/8)","10.5","3.5"
"Helsinki Kaisaniemi","2021","4","17","23:00","73","50000","1030.2","Selkeää (0/8)","9.8","3.2"
"Helsinki Kaisaniemi","2021","4","18","00:00","47.4","50000","1030.2","Selkeää (0/8)","8.7","3"
"Helsinki Kaisaniemi","2021","4","18","01:00","57.9","50000","1030.5","Selkeää (0/8)","8.9","4.4"
"Helsinki Kaisaniemi","2021","4","18","02:00","55.4","50000","1030.6","Selkeää (0/8)","8.4","3.1"
"Helsinki Kaisaniemi","2021","4","18","03:00","46.8","50000","1030.5","Selkeää (0/8)","7.8","3"
"Helsinki Kaisaniemi","2021","4","18","04:00","44.7","50000","1030.4","Selkeää (0/8)","7.1","3"
"Helsinki Kaisaniemi","2021","4","18","05:00","44.1","50000","1030.5","Selkeää (0/8)","6.6","3.1"
"Helsinki Kaisaniemi","2021","4","18","06:00","46.5","50000","1030.4","Selkeää (0/8)","6.4","3.6"
"Helsinki Kaisaniemi","2021","4","18","07:00","46","50000","1030.5","Selkeää (0/8)","5.7","3.6"
"Helsinki Kaisaniemi","2021","4","18","08:00","51.3","50000","1030.6","Selkeää (0/8)","6.7","3.2"
"Helsinki Kaisaniemi","2021","4","18","09:00","58.1","49393","1030.7","Selkeää (0/8)","8.8","3.5"
"Helsinki Kaisaniemi","2021","4","18","10:00","72.8","46128","1030.7","Selkeää (0/8)","11.5","4.5"
"Helsinki Kaisaniemi","2021","4","18","11:00","82","44500","1030.7","Selkeää (0/8)","12.9","5.9"
"Helsinki Kaisaniemi","2021","4","18","12:00","88.1","47060","1030.8","Selkeää (0/8)","13.4","6.5"
"Helsinki Kaisaniemi","2021","4","18","13:00","97.6","45875","1030.7","Selkeää (0/8)","14","5.7"
"Helsinki Kaisaniemi","2021","4","18","14:00","103.7","45274","1030.3","Selkeää (0/8)","14.6","5.7"
"Helsinki Kaisaniemi","2021","4","18","15:00","110.1","46189","1030","Selkeää (0/8)","14.3","5.7"
"Helsinki Kaisaniemi","2021","4","18","16:00","118.4","46859","1029.6","Selkeää (0/8)","13.5","6"
"Helsinki Kaisaniemi","2021","4","18","17:00","119.7","48243","1029.3","Selkeää (0/8)","12.7","5.1"
"Helsinki Kaisaniemi","2021","4","18","18:00","116.7","47805","1029.2","Selkeää (0/8)","12.9","4.2"
"Helsinki Kaisaniemi","2021","4","18","19:00","101.7","50000","1029","Selkeää (0/8)","12.3","2.7"
"Helsinki Kaisaniemi","2021","4","18","20:00","104.1","49836","1029","Selkeää (0/8)","11.5","3"
"Helsinki Kaisaniemi","2021","4","18","21:00","101.1","49684","1029.3","Selkeää (0/8)","10.2","2.5"
"Helsinki Kaisaniemi","2021","4","18","22:00","92.1","49961","1029.7","Selkeää (0/8)","9.4","2.5"
"Helsinki Kaisaniemi","2021","4","18","23:00","73.8","50000","1029.9","Selkeää (0/8)","9.4","3"
"Helsinki Kaisaniemi","2021","4","19","00:00","74.2","50000","1029.9","Selkeää (0/8)","8.7","2.7"
"Helsinki Kaisaniemi","2021","4","19","01:00","63.9","50000","1030.1","Selkeää (0/8)","8.5","2.8"
"Helsinki Kaisaniemi","2021","4","19","02:00","63.7","50000","1030.1","Selkeää (0/8)","8.7","3.2"
"Helsinki Kaisaniemi","2021","4","19","03:00","59.5","50000","1029.9","Selkeää (0/8)","8.2","3.6"
"Helsinki Kaisaniemi","2021","4","19","04:00","55.1","50000","1029.8","Selkeää (0/8)","7.9","3.2"
"Helsinki Kaisaniemi","2021","4","19","05:00","52.1","50000","1029.9","Selkeää (0/8)","7.1","3"
"Helsinki Kaisaniemi","2021","4","19","06:00","57.8","50000","1030","Selkeää (0/8)","6.2","3.2"
"Helsinki Kaisaniemi","2021","4","19","07:00","60.4","50000","1029.9","Selkeää (0/8)","6.1","4.3"
"Helsinki Kaisaniemi","2021","4","19","08:00","61.1","47664","1029.9","Selkeää (0/8)","6.7","4.1"
"Helsinki Kaisaniemi","2021","4","19","09:00","60.5","47424","1029.9","Selkeää (0/8)","8.5","4.2"
"Helsinki Kaisaniemi","2021","4","19","10:00","62.7","45888","1029.9","Selkeää (0/8)","10.3","4"
"Helsinki Kaisaniemi","2021","4","19","11:00","88","46034","1029.9","Selkeää (0/8)","11.2","4.6"
"Helsinki Kaisaniemi","2021","4","19","12:00","111.7","44587","1029.8","Selkeää (0/8)","11.7","5.2"
"Helsinki Kaisaniemi","2021","4","19","13:00","115.8","44446","1029.6","Selkeää (0/8)","11.6","5.7"
"Helsinki Kaisaniemi","2021","4","19","14:00","110.2","43538","1029.1","Selkeää (0/8)","12","5.9"
"Helsinki Kaisaniemi","2021","4","19","15:00","115.7","41123","1028.8","Selkeää (0/8)","12.1","6.1"
"Helsinki Kaisaniemi","2021","4","19","16:00","117.6","41919","1028.4","Selkeää (0/8)","11.4","6.5"
"Helsinki Kaisaniemi","2021","4","19","17:00","121.9","46341","1027.9","Selkeää (0/8)","10.5","5.3"
"Helsinki Kaisaniemi","2021","4","19","18:00","118.4","48848","1027.5","Selkeää (0/8)","10.8","4.6"
"Helsinki Kaisaniemi","2021","4","19","19:00","116.7","49876","1027.2","Selkeää (0/8)","10.4","3.8"
"Helsinki Kaisaniemi","2021","4","19","20:00","104.7","50000","1026.9","Selkeää (0/8)","9.7","2.5"
"Helsinki Kaisaniemi","2021","4","19","21:00","101.8","50000","1026.8","Selkeää (0/8)","8.7","2.5"
"Helsinki Kaisaniemi","2021","4","19","22:00","89.4","50000","1026.7","Selkeää (0/8)","8.4","3.1"
"Helsinki Kaisaniemi","2021","4","19","23:00","83.9","50000","1026.7","Selkeää (0/8)","8.1","3.4"
"Helsinki Kaisaniemi","2021","4","20","00:00","81.3","49969","1026.3","Selkeää (0/8)","7.4","3.2"
"Helsinki Kaisaniemi","2021","4","20","01:00","82.3","50000","1026","Selkeää (0/8)","6.8","3.6"
"Helsinki Kaisaniemi","2021","4","20","02:00","75.5","50000","1025.5","Selkeää (0/8)","6.3","3.4"
"Helsinki Kaisaniemi","2021","4","20","03:00","38.7","50000","1024.9","Selkeää (0/8)","5.6","2.4"
"Helsinki Kaisaniemi","2021","4","20","04:00","38.8","50000","1024.4","Selkeää (0/8)","4.6","1.9"
"Helsinki Kaisaniemi","2021","4","20","05:00","34.3","50000","1023.9","Selkeää (0/8)","3.8","2"
"Helsinki Kaisaniemi","2021","4","20","06:00","45","50000","1023.6","Selkeää (0/8)","3.5","2.7"
"Helsinki Kaisaniemi","2021","4","20","07:00","57.7","50000","1023.2","Selkeää (0/8)","3.3","3.2"
"Helsinki Kaisaniemi","2021","4","20","08:00","52.6","47248","1022.7","Selkeää (0/8)","4.4","2.8"
"Helsinki Kaisaniemi","2021","4","20","09:00","70.1","43550","1022.4","Puolipilvistä (5/8)","6.5","3.7"
"Helsinki Kaisaniemi","2021","4","20","10:00","85.8","43625","1021.8","Selkeää (0/8)","7.7","4"
"Helsinki Kaisaniemi","2021","4","20","11:00","108.4","39745","1021.5","Selkeää (0/8)","8.6","5.4"
"Helsinki Kaisaniemi","2021","4","20","12:00","104.5","43075","1021.2","Puolipilvistä (5/8)","8.5","6"
"Helsinki Kaisaniemi","2021","4","20","13:00","105.8","43417","1020.7","Selkeää (1/8)","9.5","5.3"
"Helsinki Kaisaniemi","2021","4","20","14:00","103.6","42633","1019.9","Selkeää (0/8)","10.6","5.8"
"Helsinki Kaisaniemi","2021","4","20","15:00","101.6","40449","1019.3","Selkeää (0/8)","10.7","6.6"
"Helsinki Kaisaniemi","2021","4","20","16:00","104.1","39508","1018.7","Selkeää (0/8)","10.4","6.9"
"Helsinki Kaisaniemi","2021","4","20","17:00","100.5","42961","1018","Selkeää (0/8)","10","6.7"
"Helsinki Kaisaniemi","2021","4","20","18:00","103.7","44957","1017.3","Selkeää (0/8)","9.8","5.8"
"Helsinki Kaisaniemi","2021","4","20","19:00","101.1","48791","1016.6","Selkeää (1/8)","9.7","5.2"
"Helsinki Kaisaniemi","2021","4","20","20:00","90.5","49418","1015.9","Puolipilvistä (5/8)","9.1","5.3"
"Helsinki Kaisaniemi","2021","4","20","21:00","81.9","49994","1015.3","Puolipilvistä (5/8)","8.4","5.2"
"Helsinki Kaisaniemi","2021","4","20","22:00","86.5","50000","1014.7","Puolipilvistä (5/8)","7.9","4.1"
"Helsinki Kaisaniemi","2021","4","20","23:00","87.9","49710","1014.1","Melko pilvistä (7/8)","7.7","3.8"
"Helsinki Kaisaniemi","2021","4","21","00:00","98","49210","1013.6","Melko pilvistä (7/8)","7","3.7"
"Helsinki Kaisaniemi","2021","4","21","01:00","97.3","49890","1013.2","Melko pilvistä (7/8)","6.5","3.2"
"Helsinki Kaisaniemi","2021","4","21","02:00","101.9","49804","1012.7","Melko pilvistä (7/8)","6.4","3.4"
"Helsinki Kaisaniemi","2021","4","21","03:00","99.8","50000","1011.9","Melko pilvistä (7/8)","5.7","2.8"
"Helsinki Kaisaniemi","2021","4","21","04:00","86.4","49031","1011","Selkeää (0/8)","4.8","2.7"
"Helsinki Kaisaniemi","2021","4","21","05:00","83.1","49619","1010.3","Selkeää (0/8)","4.5","2.4"
"Helsinki Kaisaniemi","2021","4","21","06:00","99.4","49851","1009.7","Selkeää (0/8)","3.9","3.2"
"Helsinki Kaisaniemi","2021","4","21","07:00","102.2","45575","1009","Selkeää (0/8)","4.1","3"
"Helsinki Kaisaniemi","2021","4","21","08:00","95.7","44248","1008.5","Selkeää (0/8)","5.4","3"
"Helsinki Kaisaniemi","2021","4","21","09:00","104.7","42310","1007.9","Selkeää (0/8)","7.2","2.7"
"Helsinki Kaisaniemi","2021","4","21","10:00","96.6","38935","1007.3","Selkeää (0/8)","8.3","3.1"
"Helsinki Kaisaniemi","2021","4","21","11:00","109","35181","1006.7","Selkeää (0/8)","8.6","3"
"Helsinki Kaisaniemi","2021","4","21","12:00","120.4","41501","1006.2","Selkeää (0/8)","9.3","3.1"
"Helsinki Kaisaniemi","2021","4","21","13:00","114.1","36401","1005.4","Selkeää (0/8)","9.9","3.7"
"Helsinki Kaisaniemi","2021","4","21","14:00","121.5","40101","1004.6","Selkeää (0/8)","10.5","3.7"
"Helsinki Kaisaniemi","2021","4","21","15:00","139.7","41080","1003.9","Selkeää (0/8)","10.7","3.7"
"Helsinki Kaisaniemi","2021","4","21","16:00","136.9","40439","1003.3","Selkeää (0/8)","10.6","3"
"Helsinki Kaisaniemi","2021","4","21","17:00","129.5","37323","1002.9","Selkeää (0/8)","9.3","4.1"
"Helsinki Kaisaniemi","2021","4","21","18:00","120.1","37641","1002.7","Selkeää (0/8)","8.6","4.5"
"Helsinki Kaisaniemi","2021","4","21","19:00","114.2","39645","1002.5","Selkeää (0/8)","7.7","5.1"
"Helsinki Kaisaniemi","2021","4","21","20:00","114.7","37053","1002.5","Selkeää (1/8)","6.1","5.6"
"Helsinki Kaisaniemi","2021","4","21","21:00","113","41441","1002.6","Melko selkeää (3/8)","5.3","5.7"
"Helsinki Kaisaniemi","2021","4","21","22:00","106.9","47358","1002.6","Selkeää (0/8)","4.7","4.6"
"Helsinki Kaisaniemi","2021","4","21","23:00","109","47974","1002.2","Selkeää (0/8)","4.5","4.7"
"Helsinki Kaisaniemi","2021","4","22","00:00","112.6","48838","1001.9","Selkeää (0/8)","4.6","5.4"
"Helsinki Kaisaniemi","2021","4","22","01:00","112.2","48239","1001.7","Selkeää (0/8)","4.5","4.3"
"Helsinki Kaisaniemi","2021","4","22","02:00","98.1","43653","1001.5","Selkeää (0/8)","4.2","2.9"
"Helsinki Kaisaniemi","2021","4","22","03:00","89.9","36289","1001.4","Selkeää (0/8)","3.8","2.9"
"Helsinki Kaisaniemi","2021","4","22","04:00","97.3","25889","1001.2","Puolipilvistä (5/8)","3.7","3"
"Helsinki Kaisaniemi","2021","4","22","05:00","110","16275","1001.1","Selkeää (1/8)","3.4","3.1"
"Helsinki Kaisaniemi","2021","4","22","06:00","108.9","13502","1001.1","Selkeää (1/8)","3.2","2.9"
"Helsinki Kaisaniemi","2021","4","22","07:00","102.8","9169","1001.2","Selkeää (1/8)","3.2","2.3"
"Helsinki Kaisaniemi","2021","4","22","08:00","114.5","8795","1001.2","Puolipilvistä (5/8)","3.8","2.5"
"Helsinki Kaisaniemi","2021","4","22","09:00","132.2","29598","1001.5","Selkeää (1/8)","5.8","2.6"
"Helsinki Kaisaniemi","2021","4","22","10:00","181.4","31559","1002","Puolipilvistä (5/8)","5.6","3.4"
"Helsinki Kaisaniemi","2021","4","22","11:00","207","26781","1002.5","Melko pilvistä (7/8)","5.3","3.9"
"Helsinki Kaisaniemi","2021","4","22","12:00","216.8","29813","1003.2","Selkeää (0/8)","6.4","4.3"
"Helsinki Kaisaniemi","2021","4","22","13:00","219.1","36826","1003.6","Selkeää (1/8)","7.6","6"
"Helsinki Kaisaniemi","2021","4","22","14:00","218.1","38913","1004.1","Selkeää (1/8)","8.7","4.6"
"Helsinki Kaisaniemi","2021","4","22","15:00","216.9","38577","1004.4","Selkeää (0/8)","9.7","4.1"
"Helsinki Kaisaniemi","2021","4","22","16:00","199.4","40498","1004.7","Selkeää (1/8)","9.6","3.5"
"Helsinki Kaisaniemi","2021","4","22","17:00","196.7","40201","1005","Selkeää (0/8)","8.8","3.3"
"Helsinki Kaisaniemi","2021","4","22","18:00","167.9","39476","1005.2","Selkeää (0/8)","8.4","2.8"
"Helsinki Kaisaniemi","2021","4","22","19:00","137","43483","1005.3","Selkeää (1/8)","7.8","2.8"
"Helsinki Kaisaniemi","2021","4","22","20:00","146.9","41996","1005.3","Selkeää (0/8)","6.9","2.7"
"Helsinki Kaisaniemi","2021","4","22","21:00","129.1","41200","1005.4","Selkeää (1/8)","6.1","3.5"
"Helsinki Kaisaniemi","2021","4","22","22:00","157.7","49267","1005.4","Puolipilvistä (5/8)","6","2.4"
"Helsinki Kaisaniemi","2021","4","22","23:00","126.6","49808","1005","Melko pilvistä (7/8)","5.7","1.7"
"Helsinki Kaisaniemi","2021","4","23","00:00","90.3","50000","1004.5","Melko pilvistä (7/8)","5.7","1.2"
"Helsinki Kaisaniemi","2021","4","23","01:00","121","49790","1004.4","Pilvistä (8/8)","6.1","1.6"
"Helsinki Kaisaniemi","2021","4","23","02:00","156.1","50000","1003.9","Puolipilvistä (5/8)","5.6","1.7"
"Helsinki Kaisaniemi","2021","4","23","03:00","158.5","50000","1003.5","Melko pilvistä (7/8)","5.6","2.2"
"Helsinki Kaisaniemi","2021","4","23","04:00","193.7","49744","1003.3","Pilvistä (8/8)","5.1","2.7"
"Helsinki Kaisaniemi","2021","4","23","05:00","214.2","39528","1003","Melko pilvistä (7/8)","4.8","2.9"
"Helsinki Kaisaniemi","2021","4","23","06:00","208.3","26137","1003","Pilvisyyttä ei voida määrittää (9/8)","3.6","4.2"
"Helsinki Kaisaniemi","2021","4","23","07:00","208.8","2785","1003.2","Melko pilvistä (7/8)","0.9","1.8"
"Helsinki Kaisaniemi","2021","4","23","08:00","79.1","18973","1003.1","Pilvistä (8/8)","1.4","2.2"
"Helsinki Kaisaniemi","2021","4","23","09:00","84","25407","1003","Melko pilvistä (7/8)","2.5","2.7"
"Helsinki Kaisaniemi","2021","4","23","10:00","95.6","29177","1003.2","Pilvistä (8/8)","2.6","2.3"
"Helsinki Kaisaniemi","2021","4","23","11:00","103.4","17849","1003.3","Pilvistä (8/8)","2.9","2.5"
"Helsinki Kaisaniemi","2021","4","23","12:00","96.8","20331","1003.5","Pilvistä (8/8)","3.2","2.1"
"Helsinki Kaisaniemi","2021","4","23","13:00","71.4","14222","1003.9","Melko pilvistä (7/8)","3.5","2.2"
"Helsinki Kaisaniemi","2021","4","23","14:00","103.5","15967","1004.2","Melko pilvistä (7/8)","4.3","2.1"
"Helsinki Kaisaniemi","2021","4","23","15:00","258.2","17959","1004.6","Puolipilvistä (5/8)","4.3","2.2"
"Helsinki Kaisaniemi","2021","4","23","16:00","288","11461","1005.1","Selkeää (0/8)","3.8","4.1"
"Helsinki Kaisaniemi","2021","4","23","17:00","296.1","11331","1005.5","Selkeää (1/8)","3.2","3.4"
"Helsinki Kaisaniemi","2021","4","23","18:00","321.2","34956","1005.7","Pilvistä (8/8)","3.6","1.9"
"Helsinki Kaisaniemi","2021","4","23","19:00","290.4","49932","1005.8","Pilvistä (8/8)","4.4","3.8"
"Helsinki Kaisaniemi","2021","4","23","20:00","298.7","50000","1006.2","Melko pilvistä (7/8)","4","4.7"
"Helsinki Kaisaniemi","2021","4","23","21:00","290.1","50000","1006.4","Selkeää (1/8)","3.7","4.4"
"Helsinki Kaisaniemi","2021","4","23","22:00","274.6","50000","1006.4","Puolipilvistä (5/8)","3","5"
"Helsinki Kaisaniemi","2021","4","23","23:00","274.4","50000","1006.2","Melko pilvistä (7/8)","2.4","4.4"
"Helsinki Kaisaniemi","2021","4","24","00:00","263.5","50000","1006.1","Melko pilvistä (7/8)","2","4.6"
"Helsinki Kaisaniemi","2021","4","24","01:00","261.5","50000","1006","Melko pilvistä (7/8)","1.8","4.2"
"Helsinki Kaisaniemi","2021","4","24","02:00","267.4","50000","1005.7","Melko pilvistä (7/8)","1.5","3.8"
"Helsinki Kaisaniemi","2021","4","24","03:00","284.4","49676","1005.4","Melko pilvistä (7/8)","1.5","3"
"Helsinki Kaisaniemi","2021","4","24","04:00","282.5","50000","1005.4","Pilvistä (8/8)","1.6","3.2"
"Helsinki Kaisaniemi","2021","4","24","05:00","289.2","50000","1005.4","Pilvistä (8/8)","1.6","2.8"
"Helsinki Kaisaniemi","2021","4","24","06:00","318.7","32100","1005.3","Pilvistä (8/8)","1.5","3"
"Helsinki Kaisaniemi","2021","4","24","07:00","311","40322","1005.3","Pilvistä (8/8)","1.6","3"
"Helsinki Kaisaniemi","2021","4","24","08:00","300.9","14844","1005.4","Pilvistä (8/8)","1.6","3"
"Helsinki Kaisaniemi","2021","4","24","09:00","312.9","12829","1005.5","Melko pilvistä (7/8)","1.9","4.3"
"Helsinki Kaisaniemi","2021","4","24","10:00","317.7","21263","1005.8","Pilvistä (8/8)","1.8","5"
"Helsinki Kaisaniemi","2021","4","24","11:00","321.1","28197","1006.1","Melko pilvistä (7/8)","2.3","4"
"Helsinki Kaisaniemi","2021","4","24","12:00","324.9","44401","1006.3","Melko pilvistä (7/8)","3.1","4.8"
"Helsinki Kaisaniemi","2021","4","24","13:00","319.6","49804","1006.6","Melko pilvistä (7/8)","3.7","4.6"
"Helsinki Kaisaniemi","2021","4","24","14:00","327.5","50000","1006.9","Melko pilvistä (7/8)","4.2","4.1"
"Helsinki Kaisaniemi","2021","4","24","15:00","203.5","37022","1007.2","Melko pilvistä (7/8)","3.8","3.1"
"Helsinki Kaisaniemi","2021","4","24","16:00","283.6","34221","1007.7","Melko pilvistä (7/8)","3","1.9"
"Helsinki Kaisaniemi","2021","4","24","17:00","254.3","33228","1007.9","Melko selkeää (3/8)","3.7","3.1"
"Helsinki Kaisaniemi","2021","4","24","18:00","62.1","14821","1008.3","Melko pilvistä (7/8)","2.6","2.2"
"Helsinki Kaisaniemi","2021","4","24","19:00","88.4","13033","1008.6","Melko pilvistä (7/8)","2.5","1.5"
